,claim,simple_sentence,truth_value,source
5168,"For the U.S., a Tenuous Balance in Confronting Russia. Navigating between aiding Ukraine and avoiding an escalation with Moscow has led to a tangle of decisions and sometimes tortured distinctions over weapons and other elements of policy.","For the U.S., a Tenuous Balance in Confronting Russia. Navigating between aiding Ukraine and avoiding an escalation with Moscow has led to a tangle of decisions and sometimes tortured distinctions over weapons and other elements of policy.",meter-true,nyt
5169,"Deadly Strike on Ukraine Barracks Punctuates Russian Military Gains. Ukraine said it had temporarily lost contact with officials in the strategic port city of Mariupol, and a Russian rocket attack on a military site in Mykolaiv left dozens dead.",Deadly Strike on Ukraine Barracks Punctuates Russian Military Gains . Ukraine said it had temporarily lost contact with officials in the strategic port city of Mariupol . Deadly Strike on Ukraine Barracks Punctuates Russian Military Gains . Ukraine said a Russian rocket attack on a military site in Mykolaiv left dozens dead . ,meter-true,nyt
5170,"Russia claims to use a hypersonic missile in attack on arms depot in Ukraine.. The United States, Russia and China have all been racing to develop hypersonic weapons, which can maneuver in flight at more than five times the speed of sound.","Russia claims to use a hypersonic missile in attack on arms depot in Ukraine.. The United States, Russia and China have all been racing to develop hypersonic weapons, which can maneuver in flight at more than five times the speed of sound.",meter-true,nyt
5171,"Spain, Seeking Better Ties With Morocco, Shifts Stance on Western Sahara. Madrid endorsed a plan for limited autonomy for the territory in northwestern Africa, but the change in policy was denounced by independence groups and could aggravate relations with Algeria.","Spain, Seeking Better Ties With Morocco, Shifts Stance on Western Sahara. Madrid endorsed a plan for limited autonomy for the territory in northwestern Africa, but the change in policy was denounced by independence groups and could aggravate relations with Algeria.",meter-true,nyt
5172,"Russian Rocket Attack Turns Ukrainian Marine Base to Rubble, Killing Dozens. More than 40 marines were killed, an official said, but there were signs the toll could much be higher. At the Mykolaiv morgue, dozens of bodies were laid out in a storage area.",Russian Rocket Attack Turns Ukrainian Marine Base to Rubble  Killing Dozens . More than 40 marines were killed  an official said . Russian Rocket Attack Turns Ukrainian Marine Base to Rubble  Killing Dozens . More than 40 marines were killed  there were signs the toll could much be higher . . Russian Rocket Attack Turns Ukrainian Marine Base to Rubble  Killing Dozens . More than 40 marines were killed  At the Mykolaiv morgue  dozens of bodies were laid out in a storage area . ,meter-true,nyt
5173,"‘I Don’t Have the Right to Cry’: Ukrainian Women Share Their Stories of Escape. In war, things can change quickly. A New York Times reporter wanted to capture — in whatever blurry way one can in a war — this moment in this war, three weeks in.","‘I Don’t Have the Right to Cry’: Ukrainian Women Share Their Stories of Escape. In war, things can change quickly. A New York Times reporter wanted to capture — in whatever blurry way one can in a war — this moment in this war, three weeks in.",meter-true,nyt
5174,Truth Is Another Front in Putin’s War. The Kremlin has used a barrage of increasingly outlandish falsehoods to prop up its overarching claim that the invasion of Ukraine is justified.,Truth Is Another Front in Putin’s War. The Kremlin has used a barrage of increasingly outlandish falsehoods to prop up its overarching claim that the invasion of Ukraine is justified.,meter-true,nyt
5175,"Russia Is Losing Tens of Thousands of Outward-Looking Young Professionals. Many of them have been streaming into Armenia, where they can work I.T. jobs remotely, at least for a while. At cafes in the capital, Yerevan, the exiles try to plot out new lives from their laptops.",Russia Is Losing Tens of Thousands of Outward-Looking Young Professionals . Many of them have been streaming into Armenia  where they can work I.T . jobs remotely  at least for a . At cafes in the capital  Yerevan  the exiles try to plot out new lives from their laptops . ,meter-true,nyt
5176,"Russia Will Remake Itself. But It Has to Crumble First.. We will rebuild Russia, of course, slowly and patiently, just like the generation before us. But not before this one crumbles first.",Russia Will Remake Itself . But It Has to Crumble First . . We will rebuild Russia  of course  slowly before us . But not before this one crumbles first . Russia Will Remake Itself . But It Has to Crumble First . . We will rebuild Russia  of course  patiently  just like the generation before us . But not before this one crumbles first . ,meter-true,nyt
5177,Is Taiwan Next?. China is watching Russia’s invasion of Ukraine closely.,Is Taiwan Next?. China is watching Russia’s invasion of Ukraine closely.,meter-true,nyt
5178,"Ukraine War Threatens to Cause a Global Food Crisis. A critical share of the world’s food and fertilizer is stuck in Russia and Ukraine, sending global prices soaring and foreshadowing a rise in world hunger.","Ukraine War Threatens to Cause a Global Food Crisis. A critical share of the world’s food and fertilizer is stuck in Russia and Ukraine, sending global prices soaring and foreshadowing a rise in world hunger.",meter-true,nyt
5179,It’s Now Putin’s Plan B in Ukraine vs. Biden’s and Zelensky’s Plan A. Russia’s strategic choices could become increasingly frightening to the West.,It ' s Now Putin ' s Plan B in Ukraine vs. Biden ' s Plan A. Russia ' s strategic choices could become increasingly frightening to the West . It ' s Now Putin ' s Plan B in Ukraine vs. Biden ' Zelensky ' s Plan A. Russia ' s strategic choices could become increasingly frightening to the West . ,meter-true,nyt
5180,"War Brings Out Solidarity and Defiance in Ukrainians Who Remain. About two million people have stayed in Kyiv, a population galvanized by a newfound unity and its refusal to be cowed by Russian invaders.","War Brings Out Solidarity and Defiance in Ukrainians Who Remain. About two million people have stayed in Kyiv, a population galvanized by a newfound unity and its refusal to be cowed by Russian invaders.",meter-true,nyt
5181,Your Monday Briefing: Russia’s Assault on Mariupol. Plus China’s new Covid strategy and concerns of world hunger.,Your Monday Briefing : Russia ' s Assault on Mariupol . Plus China ' s new Covid strategy . Your Monday Briefing : Russia ' s Assault on concerns of world hunger . ,meter-true,nyt
5182,Russia Broadens Mariupol Assault as Signs of Stalemate Take Shape. The battle for Mariupol has become a grim symbol of Russia’s superior firepower and its frustration in failing to subjugate Ukraine after more than three weeks of war.,Russia Broadens Mariupol Assault as Signs of Stalemate Take Shape . The battle for Mariupol has become a grim symbol of Russia ' s superior firepower . Russia Broadens Mariupol Assault as Signs of Stalemate Take Shape . The battle for Mariupol has become a grim symbol of Russia ' s its frustration in failing to subjugate Ukraine after more than three weeks of war . ,meter-true,nyt
5183,"U.S. to Declare That Myanmar’s Military Committed Genocide. The Biden administration had been weighing the legal designation for the bloody campaign against members of the Rohingya, a minority ethnic group.","U.S. to Declare That Myanmar’s Military Committed Genocide. The Biden administration had been weighing the legal designation for the bloody campaign against members of the Rohingya, a minority ethnic group.",meter-true,nyt
5184,Your Monday Briefing. Russia pummels Mariupol.,Your Monday Briefing. Russia pummels Mariupol.,meter-true,nyt
5185,"A Ukrainian American Woman Thinks of Me as Her Enemy. As a Chechen journalist, I watch videos of the Ukrainian bomb shelters and remember the brutal bombardment of Grozny. ",A Ukrainian American Woman Thinks of Me as Her Enemy . As a Chechen journalist  I watch videos of the Ukrainian bomb shelters . A Ukrainian American Woman Thinks of Me as Her Enemy . As a Chechen journalist  I remember the brutal bombardment of Grozny . ,meter-true,nyt
5186,"It’s Never a Good Time for the Hunter Biden Story. For one thing, there’s a war on. For another, it’s ... unseemly.","It’s Never a Good Time for the Hunter Biden Story. For one thing, there’s a war on. For another, it’s ... unseemly.",meter-true,nyt
5187,"An Ancient City Transformed by War. Simple rituals, like having coffee in a cafe in Lviv, Ukraine, take on a new and sometimes surreal meaning in a radically altered context.",An Ancient City Transformed by War . Simple rituals  like having coffee in a cafe in Lviv  Ukraine  take on a new meaning in a radically altered context . An Ancient City Transformed by War . Simple rituals  like having coffee in a cafe in Lviv  Ukraine  take on a sometimes surreal meaning in a radically altered context . ,meter-true,nyt
5188,"Fleeing War in Ukraine, They’re Met With Employers Offering Paychecks. Job boards are overflowing with offers dedicated to Ukrainian refugees, as businesses and governments fast-track access to employment.",Fleeing War in Ukraine  They ' re Met With Employers Offering Paychecks . Job boards are overflowing with offers dedicated to Ukrainian refugees  as businesses . Fleeing War in Ukraine  They ' re Met With Employers governments fast-track access to employment . ,meter-true,nyt
5189,The Grimmest Dilemma. The Biden administration is facing an old Cold War dilemma: Be weak or risk a world war.,The Grimmest Dilemma . The Biden administration is facing an old Cold War dilemma : Be weak . The Grimmest Dilemma . The Biden administration is facing an old Cold War dilemma : risk a world war . ,meter-true,nyt
5190,Business Reckons With a Historic Court Moment. What Ketanji Brown Jackson’s nomination to the Supreme Court means for corporate America.,Business Reckons With a Historic Court Moment. What Ketanji Brown Jackson’s nomination to the Supreme Court means for corporate America.,meter-true,nyt
5191,"Creating Space Command, Australia Strengthens High-Tech Bond With U.S.. The expanded commitment to space defense reflects the reality of a new, extraterrestrial landscape for war.","Creating Space Command, Australia Strengthens High-Tech Bond With U.S.. The expanded commitment to space defense reflects the reality of a new, extraterrestrial landscape for war.",meter-true,nyt
5192,"Planned Before War, a Festival Embraces New Ukrainian Music. Marked by performer absences because of the Russian invasion, the Ukrainian Contemporary Music Festival returned for its third edition.",Planned Before War. A Festival Embraces New Ukrainian Music . Marked by performer absences  of the Russian invasion . The Ukrainian Contemporary Music Festival returned for its third edition. . ,meter-true,nyt
5193,"Powell Says Fed Could Raise Rates More Quickly to Tame Inflation. Jerome H. Powell, the chair of the Federal Reserve, voiced worry about inflation expectations and declared the central bank ready to do what it takes to control rapid price increases.",Powell Says Fed Could Raise Rates More Quickly to Tame Inflation . Jerome H. Powell  the chair of the Federal Reserve  voiced worry about inflation expectations . Powell Says Fed Could Raise Rates More Quickly to Tame Inflation . Jerome H. Powell  the chair of the Federal Reserve  declared the central bank ready to do what it takes to control rapid price increases . ,meter-true,nyt
5194,Ukraine’s Refugees Are Fleeing Brutality. Let Them In.. Readers urge actions to address the refugee and food crises caused by the Ukraine war. Also: Russian soldiers; essential workers; prison time; donating ties.,Ukraine ' s Refugees Are Fleeing Brutality . Let Them In . . Readers urge actions to address the refugee food crises caused by the Ukraine war . Also : Russian soldiers ; essential workers ; prison time ; donating ties . Ukraine ' s Refugees Are Fleeing Brutality . Let Them In . . Readers urge actions to address refugee food crises caused by the Ukraine war . Also : Russian soldiers ; essential workers ; prison time ; donating ties . ,meter-true,nyt
5195,The Man in the Olive Green Tee. How President Volodymyr Zelensky of Ukraine transformed the meaning of a piece of cotton.,The Man in the Olive Green Tee. How President Volodymyr Zelensky of Ukraine transformed the meaning of a piece of cotton.,meter-true,nyt
5196,"Walls, Dreams and Genocide: Zelensky’s Speeches Invoke History to Rally Support. The Ukrainian leader, a former actor, has invoked emotional moments in the history of nations from which he is hoping to secure backing. We look at five of his recent speeches.","Walls, Dreams and Genocide: Zelensky’s Speeches Invoke History to Rally Support. The Ukrainian leader, a former actor, has invoked emotional moments in the history of nations from which he is hoping to secure backing. We look at five of his recent speeches.",meter-true,nyt
5197,The Smaller Bombs That Could Turn Ukraine Into a Nuclear War Zone. Military experts say a new generation of nuclear weapons has raised the risk that Mr. Putin might introduce less destructive atomic arms into the battlefields in and around Ukraine.,The Smaller Bombs That Could Turn Ukraine Into a Nuclear War Zone . Military experts say a new generation of nuclear weapons has raised the risk that Mr. Putin might introduce less destructive atomic arms into the battlefields in . The Smaller Bombs That Could Turn Ukraine Into a Nuclear War Zone . Military experts say a new generation of nuclear weapons has raised the risk that Mr. Putin might introduce less destructive atomic arms into the battlefields around . The Smaller Bombs That Could Turn Ukraine Into a Nuclear War Zone . Military experts say a new generation of nuclear weapons has raised the risk that Mr. Putin might introduce less destructive atomic arms into the battlefields Ukraine . ,meter-true,nyt
5198,I Think I Just Solved Daylight Saving Time. Congress can set the clock however it wants. Businesses and schools still get to decide when to open and close.,I Think I Just Solved Daylight Saving Time. Congress can set the clock however it wants. Businesses and schools still get to decide when to open and close.,meter-true,nyt
5199,"Myanmar’s Military Committed Genocide Against Rohingya, U.S. Says. Secretary of State Antony Blinken announced the official designation. More than 9,000 people were killed in the violence.",,meter-true,nyt
5200,"As Big Shows of Russian Art End in Europe, Some Wonder What’s Next. Museums in London and Paris are grappling with questions about how to get art back to Russia, and whether the works will ever be seen again in Europe.","As Big Shows of Russian Art End in Europe, Some Wonder What’s Next. Museums in London and Paris are grappling with questions about how to get art back to Russia, and whether the works will ever be seen again in Europe.",meter-true,nyt
5201,"Russia’s Loss of Rocket Launch Business Becomes SpaceX’s Gain. OneWeb, a British satellite internet company, turned to SpaceX’s rockets after canceling launches with Russia’s Soyuz vehicle over the invasion of Ukraine.",,meter-true,nyt
5202,Biden warns the private sector that Russia is exploring options for cyberattacks.. The president cited “evolving intelligence” and urged companies to strengthen their defenses immediately.,Biden warns the private sector that Russia is exploring options for cyberattacks . . The president cited `` evolving intelligence '' . Biden warns the private sector that Russia is exploring options for cyberattacks . . The president urged companies to strengthen their defenses immediately . ,meter-true,nyt
5203,"As Mariupol Is Bombed and Besieged, Those Trapped Fight to Survive. For three weeks, the Ukrainian port city has been without water, heat, electricity and all communication under a merciless Russian assault. Here’s what its residents have been enduring.","As Mariupol Is Bombed and Besieged, Those Trapped Fight to Survive. For three weeks, the Ukrainian port city has been without water, heat, electricity and all communication under a merciless Russian assault. Here’s what its residents have been enduring.",meter-true,nyt
5204,‘Hell’ in Mariupol. The city has seen some of the war’s worst horrors.,,meter-true,nyt
5205,Your Tuesday Briefing: The Fight for Mariupol. Plus a plane crash in China and Hong Kong’s easing of Covid restrictions.,Your Tuesday Briefing : The Fight for Mariupol . Plus a plane crash in China easing of Covid restrictions . Your Tuesday Briefing : The Fight for Hong Kong ' s easing of Covid restrictions . ,meter-true,nyt
5206,Your Monday Briefing. Here’s what you need to know at the end of the day.,Your Monday Briefing. Here’s what you need to know at the end of the day.,meter-true,nyt
5207,"Russians Pound Ukrainian Cities, as Biden Rallies Anti-Kremlin Alliance. A powerful explosion ruined a shopping mall in Kyiv and claimed several lives, while Ukraine refused a Russian demand to surrender the devastated city of Mariupol.","Russians Pound Ukrainian Cities, as Biden Rallies Anti-Kremlin Alliance. A powerful explosion ruined a shopping mall in Kyiv and claimed several lives, while Ukraine refused a Russian demand to surrender the devastated city of Mariupol.",meter-true,nyt
5208,"For These Republicans, Supreme Court Hearings Are an Irresistible Opportunity. Four of the senators on the panel grilling Judge Ketanji Brown Jackson are known to have dreams beyond the walls of the U.S. Senate.",,meter-true,nyt
5209,"On the Scene in Poland. A sprawling expo center in the Polish capital has given some 25,000 refugees a safe place to recharge before journeying on.","On the Scene in Poland. A sprawling expo center in the Polish capital has given some 25,000 refugees a safe place to recharge before journeying on.",meter-true,nyt
5210,"In Warsaw, a Network of Support Greets Those Crossing the Polish Border. A sprawling expo center in the Polish capital has given some 25,000 refugees a safe place to recharge before journeying on.","In Warsaw, a Network of Support Greets Those Crossing the Polish Border. A sprawling expo center in the Polish capital has given some 25,000 refugees a safe place to recharge before journeying on.",meter-true,nyt
5211,Your Tuesday Briefing. Mariupol refuses to surrender.,Your Tuesday Briefing. Mariupol refuses to surrender.,meter-true,nyt
5212,"The Grand Theory Driving Putin to War. The goal, plainly, is empire.","The Grand Theory Driving Putin to War. The goal, plainly, is empire.",meter-true,nyt
5213,"For Russian Aristocrats, Paris Was a Glittering Expat Playground — Until 1917. Helen Rappaport’s “After the Romanovs” explains why Paris became the gravitational center for exiles both before and after the Russian Revolution.",For Russian Aristocrats  Paris Was a Glittering Expat Playground -- Until 1917 . Helen Rappaport ' s `` After the Romanovs '' explains why Paris became the gravitational center for exiles before . For Russian Aristocrats  Paris Was a Glittering Expat Playground -- Until 1917 . Helen Rappaport ' s `` After the Romanovs '' explains why Paris became the gravitational center for exiles after . For Russian Aristocrats  Paris Was a Glittering Expat Playground -- Until 1917 . Helen Rappaport ' s `` After the Romanovs '' explains why Paris became the gravitational center for exiles the Russian Revolution . ,meter-true,nyt
5214,How Ukraine’s Outgunned Air Force Is Fighting Back Against Russian Jets. Aerial dogfights. Top Gun-style duels. Ukraine’s fighter pilots are badly outnumbered but have so far kept Russia from controlling the skies.,How Ukraine ' s Outgunned Air Force Is Fighting Back Against Russian Jets . Aerial dogfights . Top Gun-style duels . Ukraine ' s fighter pilots are badly outnumbered . How Ukraine ' s Outgunned Air Force Is Fighting Back Against Russian Jets . Aerial dogfights . Top Gun-style duels . Ukraine ' s fighter pilots have so far kept Russia from controlling the skies . ,meter-true,nyt
5215,Transcript: Ezra Klein Interviews Daniel Yergin. A conversation with economic historian Daniel Yergin.,Transcript: Ezra Klein Interviews Daniel Yergin. A conversation with economic historian Daniel Yergin.,meter-true,nyt
5216,"Will Sanctioning Oligarchs Change the War?. In punishment for the invasion of Ukraine, rich businessmen with ties to the Kremlin have been financially blacklisted.","Will Sanctioning Oligarchs Change the War?. In punishment for the invasion of Ukraine, rich businessmen with ties to the Kremlin have been financially blacklisted.",meter-true,nyt
5217,Why KBJ Is Different. Ketanji Brown Jackson is similar to and different from the justices she would be joining — not only because of her race and gender.,Why KBJ Is Different. Ketanji Brown Jackson is similar to and different from the justices she would be joining — not only because of her race and gender.,meter-true,nyt
5218,"Aleksei Navalny, Fiery Putin Critic, Is Handed a New, 9-Year Prison Sentence. Despite already being behind bars, Mr. Navalny has been urging Russians to protest the war in Ukraine, making him even more of a liability for President Vladimir V. Putin.",,meter-true,nyt
5219,‘A Very Significant Moment for Business’. The S.E.C. has proposed sweeping new rules on company climate disclosures.,‘A Very Significant Moment for Business’. The S.E.C. has proposed sweeping new rules on company climate disclosures.,meter-true,nyt
5220,"Weekly News Quiz for Students: Sunshine Protection Act, Aviation Disaster, Invasive Species. Have you been paying attention to the news recently? See how many of these 10 questions you can get right.","Weekly News Quiz for Students: Sunshine Protection Act, Aviation Disaster, Invasive Species. Have you been paying attention to the news recently? See how many of these 10 questions you can get right.",meter-true,nyt
5221,"China Takes a Back Seat in International Diplomacy Over Ukraine. Despite its economic and military might and close ties to Russia, China has balked at trying to press Vladimir Putin to stop the fighting.","China Takes a Back Seat in International Diplomacy Over Ukraine. Despite its economic and military might and close ties to Russia, China has balked at trying to press Vladimir Putin to stop the fighting.",meter-true,nyt
5222,Trudeau Strikes Accord With Opponents to Secure Hold on Power. A left-of-center opposition party agrees to back the government until 2025 in exchange for advancing its causes.,,meter-true,nyt
5223,"Opioids, Chronic Pain and Addiction. Readers respond to a guest essay by Maia Szalavitz about the opioid crisis. Also: The Republicans and the Ukraine war.","Opioids, Chronic Pain and Addiction. Readers respond to a guest essay by Maia Szalavitz about the opioid crisis. Also: The Republicans and the Ukraine war.",meter-true,nyt
5224,"‘OK Doomer’ and the Climate Advocates Who Say It’s Not Too Late. A growing chorus of young people is focusing on climate solutions. “‘It’s too late’ means ‘I don’t have to do anything, and the responsibility is off me.’”","‘OK Doomer’ and the Climate Advocates Who Say It’s Not Too Late. A growing chorus of young people is focusing on climate solutions. “‘It’s too late’ means ‘I don’t have to do anything, and the responsibility is off me.’”",meter-true,nyt
5225,"Venezuelan Vacations Abruptly End as Tourists Return Home to a Different Russia. While Russian tourists were visiting Margarita Island, their country invaded Ukraine. Many were left wondering what travails awaited them back at home.",,meter-true,nyt
5226,Odessa and the Ukraine That Should Have Been. How history cut off the rise of a great city.,Odessa . The Ukraine That Should Have Been . How history cut off the rise of a great city . ,meter-true,nyt
5227,Will War Make Europe’s Switch to Clean Energy Even Harder?. A wind turbine factory in Denmark and a coal mine in Poland illustrate the painful policy choices after Russia’s aggression in Ukraine added urgency to the transition to greener energy.,Will War Make Europe ' s Switch to Clean Energy Even Harder ? . A wind turbine factory in Denmark illustrate the painful policy choices after Russia ' s aggression in Ukraine added urgency to the transition to greener energy . A coal mine in Poland illustrate the painful policy choices after Russia ' s aggression in Ukraine added urgency to the transition to greener energy . ,meter-true,nyt
5228,"Leaders of Israel, U.A.E. and Egypt Meet for Their First Summit. All three countries are navigating fraught relationships with the Biden administration amid the quickly changing geopolitical landscape precipitated by Russia’s war on Ukraine.",Leaders of Israel  U.A.E . Meet for Their First Summit . All three countries are navigating fraught relationships with the Biden administration amid the quickly changing geopolitical landscape precipitated by Russia ' s war on Ukraine . Leaders of Israel  Egypt Meet for Their First Summit . All three countries are navigating fraught relationships with the Biden administration amid the quickly changing geopolitical landscape precipitated by Russia ' s war on Ukraine . ,meter-true,nyt
5229,"Russia’s combat force has shrunk, a Pentagon official says, reflecting casualties and other struggles.. The official said that Russian forces were “struggling on many fronts,” and that there were indications that some troops had been evacuated with frostbite.","Russia’s combat force has shrunk, a Pentagon official says, reflecting casualties and other struggles.. The official said that Russian forces were “struggling on many fronts,” and that there were indications that some troops had been evacuated with frostbite.",meter-true,nyt
5230,TotalEnergies says it will stop buying oil from Russia by the end of the year.. The French company said it had been accused of “complicity in war crimes” for continuing to work in Russia.,,meter-true,nyt
5231,Your Wednesday Briefing: Russia Extends Navalny’s Sentence. Plus Pfizer’s plan to send Covid pills to poor countries and efforts to unseat Pakistan’s leader.,Your Wednesday Briefing : Russia Extends Navalny ' s Sentence . Plus Pfizer ' s plan to send Covid pills to poor countries efforts to unseat Pakistan ' s leader . Your Wednesday Briefing : Russia Extends Navalny ' s Sentence . Plus Pfizer ' s plan to send Covid pills to countries efforts to unseat Pakistan ' s leader . ,meter-true,nyt
5232,"Ukraine War and Pandemic Force Nations to Retreat From Globalization. Conflicts among the U.S., Russia and China — and endless Covid-19 outbreaks — strain the interdependent economy and Western ideas of post-Cold War stability.","Ukraine War and Pandemic Force Nations to Retreat From Globalization. Conflicts among the U.S., Russia and China — and endless Covid-19 outbreaks — strain the interdependent economy and Western ideas of post-Cold War stability.",meter-true,nyt
5233,"Russia’s shrinking invasion force. Russia’s combat power has dropped because of significant losses, a U.S. defense official says.",Russia ' s shrinking invasion force . Russia ' s combat power has dropped  of significant losses . A U.S. defense official says . ,meter-true,nyt
5234,"As Russia Stalls in Ukraine, Dissent Brews Over Putin’s Leadership. Military losses have mounted, progress has slowed, and a blame game has begun among some Russian supporters of the war.",As Russia Stalls in Ukraine  Dissent Brews. Over Putin ' s Leadership . Military losses have mounted  progress has slowed . A blame game has begun among some Russian supporters of the war. . ,meter-true,nyt
5235,Biden Plans Sanctions on Russian Lawmakers as He Heads to Europe. A chief goal of the meetings this week is to show that Russia’s invasion of Ukraine will not lead to sniping and disagreement among the United States and its allies.,Biden Plans Sanctions on Russian Lawmakers as He Heads to Europe. A chief goal of the meetings this week is to show that Russia’s invasion of Ukraine will not lead to sniping and disagreement among the United States and its allies.,meter-true,nyt
5236,"A Kremlin spokesman says Russia could use nuclear weapons if there is ‘an existential threat for our country.’. The spokesman, Dmitri S. Peskov, made the comment after describing Ukraine, the neighboring country Russia invaded a month ago, as having been created by anti-Russian Western powers.",,meter-true,nyt
5237,Ukrainians Try to Push Back Russian Forces Pummeling Their Cities. Desperate fighting has shifted the front lines but neither side seems to have a decisive upper hand as Ukraine’s suffering deepens.,Ukrainians Try to Push Back Russian Forces Pummeling Their Cities . Desperate fighting has shifted the front lines neither side seems to have a decisive upper hand as Ukraine ' s suffering deepens . ,meter-true,nyt
5238,A New Iran Deal Leaves Us Meeker and Weaker. A new pact would strengthen the world’s antidemocratic axis. ,A New Iran Deal Leaves Us Meeker A new pact would strengthen the world ' s antidemocratic axis . A New Iran Deal Leaves Weaker . A new pact would strengthen the world ' s antidemocratic axis . ,meter-true,nyt
5239,"Xi, Putin and Trump: The Strongmen Follies.  This is what happens when a leader wants to be the president for life.",Xi  Putin : The Strongmen Follies . This is what happens when a leader wants to be the president for life . Xi  Trump : The Strongmen Follies . This is what happens when a leader wants to be the president for life . ,meter-true,nyt
5240,"Corrections: March 23, 2022. Corrections that appeared in print on Wednesday, March 23, 2022.","Corrections: March 23, 2022. Corrections that appeared in print on Wednesday, March 23, 2022.",meter-true,nyt
5241,Your Wednesday Briefing. Russia’s advance falters.,Your Wednesday Briefing. Russia’s advance falters.,meter-true,nyt
5242,"Russia’s Attacks on Civilian Targets Have Obliterated Everyday Life in Ukraine. In the weeks since Russia began its invasion, more than 1,500 civilian buildings, structures and vehicles in Ukraine have been damaged or destroyed.","Russia’s Attacks on Civilian Targets Have Obliterated Everyday Life in Ukraine. In the weeks since Russia began its invasion, more than 1,500 civilian buildings, structures and vehicles in Ukraine have been damaged or destroyed.",meter-true,nyt
5243,"It’s Not About Putin: Two Conservatives Break Down the G.O.P. Split Over Ukraine. After Trump’s scrambling of his party’s foreign policy, how should Republicans react to an aggressive Russia?",,meter-true,nyt
5244,Democrats Are Making Life Too Easy for Republicans. The consequences of a Republican takeover of the House or of both branches of Congress are unlikely to be routine.,Democrats Are Making Life Too Easy for Republicans . The consequences of a Republican takeover of the House are unlikely to be routine . Of both branches of Congress are unlikely to be routine . ,meter-true,nyt
5245,"Photographing the Reality of War. Lynsey Addario, a Times photojournalist in Ukraine, shares her experiences on the ground and how she communicates with her subjects during difficult moments.",Photographing the Reality of War . Lynsey Addario  a Times photojournalist in Ukraine  shares her experiences on the ground . Photographing the Reality of War . Lynsey Addario  a Times photojournalist in Ukraine  how she communicates with her subjects during difficult moments . ,meter-true,nyt
5246,"How Europe Got Hooked on Russian Gas Despite Reagan’s Warnings. A Soviet-era pipeline, opposed by the president but supported by the oil and gas industry, set up the dependency that today helps fund the Russian assault on Ukraine.","How Europe Got Hooked on Russian Gas Despite Reagan’s Warnings. A Soviet-era pipeline, opposed by the president but supported by the oil and gas industry, set up the dependency that today helps fund the Russian assault on Ukraine.",meter-true,nyt
5247,"How Russia and Right-Wing Americans Converged on War in Ukraine. Some conservatives have echoed the Kremlin’s misleading claims about the war and vice versa, giving each other’s assertions a sheen of credibility.","How Russia and Right-Wing Americans Converged on War in Ukraine. Some conservatives have echoed the Kremlin’s misleading claims about the war and vice versa, giving each other’s assertions a sheen of credibility.",meter-true,nyt
5248,"A Town on Ukraine’s Edge, Determined to Escape Its Past. Przemysl’s history has been intertwined with war. This time, like much of Poland, it wants to do things differently.",,meter-true,nyt
5249,"A cellist plays Bach in the ruined streets of Kharkiv, his hometown.. Denys Karachevtsev said on social media that he hoped his performance would bring aid and attention for Kharkiv, Ukraine’s second largest city, which has been heavily bombarded.","A cellist plays Bach in the ruined streets of Kharkiv, his hometown.. Denys Karachevtsev said on social media that he hoped his performance would bring aid and attention for Kharkiv, Ukraine’s second largest city, which has been heavily bombarded.",meter-true,nyt
5250,Nine Mass Shootings. A violent weekend highlights America’s continuing crime wave.,,meter-true,nyt
5251,Zelensky invokes memories of Fukushima and a cult’s chemical attack in his address to Japan’s Parliament.. President Volodymyr Zelensky said that Russia’s invasion could set off a nuclear catastrophe in Chernobyl and warned that Russia could use chemical weapons like the one used in a 1995 attack in Tokyo.,Zelensky invokes memories of Fukushima and a cult’s chemical attack in his address to Japan’s Parliament.. President Volodymyr Zelensky said that Russia’s invasion could set off a nuclear catastrophe in Chernobyl and warned that Russia could use chemical weapons like the one used in a 1995 attack in Tokyo.,meter-true,nyt
5252,Measuring the Risk of Recession. The markets are sending mixed signals.,,meter-true,nyt
5253,Germany Is Ready to Lead Militarily. Its Military Is Not.. Russia’s invasion of Ukraine prompted Germany to revolutionize its security doctrine. But the war has also exposed how weak a link the German military is in NATO.,Germany Is Ready to Lead Militarily. Its Military Is Not.. Russia’s invasion of Ukraine prompted Germany to revolutionize its security doctrine. But the war has also exposed how weak a link the German military is in NATO.,meter-true,nyt
5254,"Putin’s climate envoy steps down from his Kremlin post, reportedly over the Ukraine war.. The envoy, Anatoly Chubais, was reported to have become the senior-most Russian government official to quit over the invasion.","Putin’s climate envoy steps down from his Kremlin post, reportedly over the Ukraine war.. The envoy, Anatoly Chubais, was reported to have become the senior-most Russian government official to quit over the invasion.",meter-true,nyt
5255,"Ukraine War Ignites Israeli Debate Over Purpose of a Jewish State. Most Ukrainians seeking refuge in Israel are non-Jews. Some Israelis see a moral imperative to take them in, but others see a threat to the country’s Jewish character.",Ukraine War Ignites Israeli Debate Over Purpose of a Jewish State . Most Ukrainians seeking refuge in Israel are non-Jews . Some Israelis see a moral imperative to take them in  others see a threat to the country ' s Jewish character . ,meter-true,nyt
5256,Nestlé suspends sales of KitKat and Nesquik Brands in Russia.. The consumer giant said it did not expect to make a profit in the country “for the foreseeable future.”,Nestlé suspends sales of KitKat. Nesquik Brands in Russia . . The consumer giant said it did not expect to make a profit in the country `` for the foreseeable future . ''. ,meter-true,nyt
