,claim,truth_value,source
1979,"UN Commissioner: More than 150,000 people have left Ukraine, who are heading mainly to Poland, Hungary, Moldova and Romania.",meter-true,nrpublic
1980,"The Verkhovna Rada called on the West today to ""close the sky over Ukraine"", to exclude Russia from the UN Security Council, to strengthen sanctions against ""all Russians""",meter-true,nrpublic
1981,"Erdogan invited Putin to visit Turkey to discuss the diplomatic settlement of the situation in Ukraine, TGRT TV channel reports.",meter-true,nrpublic
1982,Blinken approved the Pentagon's request to provide Ukraine with immediate military aid in the amount of $350 million,meter-true,nrpublic
1983,The arbitrariness of the United States led to the conflict in Ukraine — the Ministry of Foreign Affairs of the DPRK,meter-true,nrpublic
1984,German Chancellor Olaf Scholz allowed partner countries to supply German-made weapons to Ukraine,meter-true,nrpublic
1985,"Slovakia will supply Ukraine with 12,000 mines of 120-mm caliber, 10,000 tons of fuel, 2,400 tons of aviation kerosene, two Bozena demining complexes",meter-true,nrpublic
1986,"Belgium will supply Ukraine with 2,000 machine guns and 3,800 tons of fuel for the needs of the army",meter-true,nrpublic
1987,"An Azerbaijani plane with rubber aid for Ukraine took off from Baku. Medicines and medical equipment for a total amount of more than 5 million euros are on board, Minval reports",meter-true,nrpublic
1988,Zelensky: The world saw that Ukrainians are strong. Ukrainians are brave. Ukrainians are on their native land and will never give it up,meter-true,nrpublic
1989,Zelenskyi: President of Azerbaijan Aliyev promised to help Ukraine with oil products,meter-true,nrpublic
1990,"Biden: an alternative to large-scale sanctions against Russia due to the events in Ukraine would be the start of the ""Third World War""",meter-true,nrpublic
1991,Armenia was the only country in the Council of Europe to join the Russian delegation in voting against the decision to expel Russia from the organization because of their invasion of Ukraine,meter-true,nrpublic
1992,Germany will send a thousand anti-tank guns and 500 Stinger missiles to Ukraine,meter-true,nrpublic
1993,Azerbaijani SOCAR gas stations in Ukraine will provide fuel for ambulances and rescuers for free.,meter-true,nrpublic
1994,Latvia sent more than 30 trucks with military cargo and medical goods to Ukraine,meter-true,nrpublic
1995,The CEO of the Viber messenger sent $8.7 million in aid to Ukraine,meter-true,nrpublic
1996,"Manchester City football club players took to the field in T-shirts with the inscription No war (""There is no war"") and images of the Ukrainian flag, and Everton football players draped Ukrainian flags over their shoulders",meter-true,nrpublic
1997,Bayern Munich forward Robert Lewandowski came to the match against Eintracht with a captain's armband in the colors of the Ukrainian flag.,meter-true,nrpublic
1998,"Pope Francis called Volodymyr Zelenskyi and expressed his sorrow over the events in Ukraine, the Embassy of Ukraine to the Holy See reported.",meter-true,nrpublic
1999,The United States demanded an urgent meeting of the UN Security Council on Ukraine on Sunday — France-Presse,meter-true,nrpublic
2000,"Ukrainian Railways cut off power at the Central Station in Kyiv due to the proximity of shelling. Passengers and staff were evacuated to a bunker, Interfax-Ukraine reported.",meter-true,nrpublic
2001,Hungary offers Russia and Ukraine to hold peace talks in Budapest,meter-true,nrpublic
2002,Borrell said that he will offer the EU countries to send aid to the armed forces of Ukraine on February 27.,meter-true,nrpublic
2003,France will soon deliver new military equipment to Ukraine — Macron's office,meter-true,nrpublic
2004,"The Ministry of Internal Affairs of Ukraine asks Ukrainians to turn off geolocation on their phones Turning off geolocation will prevent the Russian military from focusing on the accumulation of mobile traffic, the Ministry of Internal Affairs believes.",meter-true,nrpublic
2005,Ukraine temporarily closed checkpoints across the state border with Russia and Belarus - Prime Minister of Ukraine,meter-true,nrpublic
2006,"Ukraine cannot guarantee nuclear safety at the Chernobyl nuclear power plant, says the letter of the Ukrainian ambassador to the UN",meter-true,nrpublic
2007,The British Prime Minister announced his readiness to accept refugees from Ukraine.,meter-true,nrpublic
2008,The results of the poll on the CNN website: 77% of participants expressed their support for NATO's participation in the war on the side of Ukraine,meter-true,nrpublic
2009,Ukrainian Prosecutor General: the US is ready to send war crimes experts to Kyiv.,meter-true,nrpublic
2010,Elon Musk's satellite internet is available in Ukraine.,meter-true,nrpublic
2011,"The oil depot is on fire - Mayor Vasylkov Ukrainian mass media write that the environmental damage will be ""colossal""",meter-true,nrpublic
2012,The Ukrainian-Polish border a few hours ago,meter-true,nrpublic
2013,The Air Force of the Armed Forces of Ukraine shot down a missile fired from the territory of Belarus.,meter-true,nrpublic
2014,"Russian actress Liya Akhedzhakova donated 10,000 dollars from her savings to the needs of the Armed Forces of Ukraine",meter-true,nrpublic
2015,"Advisor to the President of Ukraine Podolyak: President Zelenskyi's position remains unchanged - only real negotiations, no ultimatums",meter-true,nrpublic
2016,"British Foreign Ministry: Operation in Ukraine may last ""several years""",meter-true,nrpublic
2017,"Volodin: if Zelensky lost Donbas yesterday because of his position, today he may lose Ukraine",meter-true,nrpublic
2018,"The authorities of Ukraine release former military prisoners to participate in hostilities, the Prosecutor General's Office reports.",meter-true,nrpublic
2019,Zelenskyi said that Ukraine has officially sent a lawsuit against Russia to the UN International Court of Justice in The Hague,meter-true,nrpublic
2020,"Ukraine fully controls Kharkiv, the governor said",meter-true,nrpublic
2021,"Zelensky asked the President of Switzerland to organize a conference in Geneva on the settlement of the situation in Ukraine, Swiss publications write.",meter-true,nrpublic
2022,Germany decided to supply weapons to Ukraine in order to protect the country's independence,meter-true,nrpublic
2023,Egypt called on the League of Arab States to hold an urgent meeting to discuss the situation in Ukraine,meter-true,nrpublic
2024,The time set aside by the Russian delegation for waiting for negotiations in Gomel with the Ukrainian side has passed.,meter-true,nrpublic
2025,"Switzerland is working on organizing a Russia-Ukraine meeting in Geneva, local television reports.",meter-true,nrpublic
2026,"The Ukrainian delegation is going to Gomel for negotiations with Russia, ""Interfax"" reported.",meter-true,nrpublic
2027,Roskomnadzor demands that Google restore access to YouTube channels of Russian mass media on the territory of Ukraine,meter-true,nrpublic
2028,"Negotiations between the delegations of Ukraine and Russia in the Gomel region are expected at the Belarusian-Ukrainian border, Belta reports.",meter-true,nrpublic
2029,Medynskyi on negotiations with Ukraine: every hour is a life saved for us,meter-true,nrpublic
2030,"The USA will provide Ukraine with humanitarian aid in the amount of almost 54 million dollars, Blinken said.",meter-true,nrpublic
2031,Zelenskyi's office claims that the meeting of the delegations of Russia and Ukraine in Belarus will take place without preconditions,meter-true,nrpublic
2032,"Pro-Russian politician Viktor Medvedchuk, who is called Putin's godfather, escaped from house arrest — Ministry of Internal Affairs of Ukraine",meter-true,nrpublic
2033,Negotiations between Russia and Ukraine will be held on the Pripyat River - Zelenskyi's office,meter-true,nrpublic
2034,A rally against the war with Ukraine is taking place in St. Petersburg,meter-true,nrpublic
2035,"At least 368,000 refugees left Ukraine — UN",meter-true,nrpublic
2036,The Ukrainian ambassador to Turkey believes that the meeting between the delegations of Russia and Ukraine may end in a ceasefire,meter-true,nrpublic
2037,The US military will not operate in the air over Ukraine - US ambassador to the UN,meter-true,nrpublic
2038,Negotiations with Russia have begun. Ukraine's first condition at the negotiations is an immediate ceasefire and troop withdrawal,meter-true,nrpublic
2039,"Berlin. 100,000 march against the war in Ukraine",meter-true,nrpublic
2040,"NATO is increasing the supply of anti-aircraft and anti-tank systems to Ukraine, as well as ammunition, the Secretary General said.",meter-true,nrpublic
2041,"NATO supports Ukraine's aspiration to join the alliance, but for this a consensus of all member countries is needed, Secretary General Stoltenberg said.",meter-true,nrpublic
2042,Negotiations between Russia and Ukraine have started,meter-true,nrpublic
2043,Russian Foreign Ministry: negotiations with Ukraine have not yet started,meter-true,nrpublic
2044,The location of the talks between Russia and Ukraine became known — the Oleksandrivka and Vilcha checkpoints. The closest Belarusian city to them is Narovlya,meter-true,nrpublic
2045,New address of the President of Ukraine Volodymyr Zelenskyi,meter-true,nrpublic
2046,"The USA, Norway and other countries have invited an urgent meeting of the UN Security Council regarding the situation in Ukraine for tomorrow.",meter-true,nrpublic
2047,"Bulgaria joins the states that have decided to support Ukraine and will provide it with humanitarian aid and military-logistical support, Prime Minister Kyril Petkov said in an address to the nation.",meter-true,nrpublic
2048,The State Special Service of Ukraine officially announced that the missile attack on the Zhytomyr airport was carried out from the territory of Belarus.,meter-true,nrpublic
2049,Hungary will not supply weapons to Ukraine - Prime Minister Orban,meter-true,nrpublic
2050,"Sweden sends weapons and ammunition to Ukraine Sweden will hand over 5,000 anti-tank guns, helmets and body armor to the Ukrainian army, as well as 135,000 dry rations.",meter-true,nrpublic
2051,"The European Union is preparing for the number of refugees from Ukraine to exceed 7 million people, the European Commissioner said",meter-true,nrpublic
2052,Ukrainian singer Nadia Dorofeeva appealed to Russian and Belarusian mothers,meter-true,nrpublic
2053,White House urges China to discuss Russia's invasion of Ukraine — Reuters,meter-true,nrpublic
2054,The Ministry of Health of Ukraine called on the WHO to stop any cooperation with Russia,meter-true,nrpublic
2055,Turkey has confirmed that it has closed the Bosphorus and Dardanelles straits to the passage of Ukrainian and Russian ships,meter-true,nrpublic
2056,"Hungary transferred 100,000 liters of fuel and 28 tons of food to Ukraine",meter-true,nrpublic
2057,"The G7 countries will take further steps against Russia if the operation in Ukraine is not stopped, the German Foreign Ministry said.",meter-true,nrpublic
2058,"McDonalds will also help the military of Ukraine and feed them. The statement says that the food will be handed over to representatives of the local authorities, who will distribute it ""where they need it the most.""",meter-true,nrpublic
2059,G7 countries: Russia will bear responsibility for any damage caused by its actions to Ukraine and its residents.,meter-true,nrpublic
2060,"At the request of Kyiv, Meta restricted access to the accounts of several Russian state media from the territory of Ukraine, the vice president of the company said",meter-true,nrpublic
2061,Updated data on combat operations of Russian troops in Ukraine,meter-true,nrpublic
2062,"Great Britain will allocate an additional 53 million dollars to provide humanitarian aid to Ukraine, Reuters reported.",meter-true,nrpublic
2063,"The European Union will supply combat aircraft to Ukraine, Borrell said.",meter-true,nrpublic
2064,The UN Security Council has invited an extraordinary special session of the UN General Assembly regarding Ukraine,meter-true,nrpublic
2065,China abstained during the vote in the UN Security Council on the resolution on convening a special session of the General Assembly regarding Ukraine,meter-true,nrpublic
2066,"Denmark will transfer up to 2,700 anti-tank weapons to Ukraine.",meter-true,nrpublic
2067,"China supports possible negotiations between Russia and Ukraine, the ambassador to the UN said.",meter-true,nrpublic
2068,EU countries will deliver the latest fighter jets to Ukraine. He will take the payment for the weapon Brussels - Borrell,meter-true,nrpublic
2069,"Belarus is involved in ""Russia's aggression"" against Ukraine, claims the Ukrainian ambassador to the UN.",meter-true,nrpublic
2070,"Now I would go back to February 23, 2022 and persuade Putin not to start a war with Ukraine",meter-true,nrpublic
2071,The Ministry of Culture of Ukraine appealed to UNESCO to deprive Russia of membership in the organization,meter-true,nrpublic
2072,"Among the civilian population, 352 people died, including 14 children, the Ministry of Internal Affairs of Ukraine reports.",meter-true,nrpublic
2073,Negotiations between Russia and Ukraine should begin within an hour - a representative of Zelenskyi's office,meter-true,nrpublic
2074,Ukraine asks the EU to disconnect Russian operators from roaming in European countries,meter-true,nrpublic
2075,The Ukrainian delegation arrived at the place of negotiations,meter-true,nrpublic
2076,Office of the President of Ukraine - about the tasks of the Ukrainian delegation at the negotiations: The key issue of the negotiations is an immediate ceasefire and the withdrawal of troops from the territory of Ukraine,meter-true,nrpublic
2077,Zelenskyi: We are appealing to the European Union on the topic of urgent accession of Ukraine under a simplified procedure,meter-true,nrpublic
2078,"Roskomnadzor demands from Google to limit advertising under the guise of transmitting materials about ""numerous victims"" among Russian forces in Ukraine",meter-true,nrpublic
2079,Japan will allocate 100 million dollars to Ukraine to help in coverage of Russian aggression — Zelensky,meter-true,nrpublic
2080,The OnlyFans service has disabled payments to Russian and Belarusian models due to the war in Ukraine.,meter-true,nrpublic
2081,Oleg Tynkov spoke against the war in Ukraine,meter-true,nrpublic
2082,"Abramovich is currently in Minsk, conducting ""real negotiations"" on ending Russia's war with Ukraine, Ksenia Sobchak reports with reference to sources.",meter-true,nrpublic
2083,"At the request of Ukraine, Abramovich came to Belarus to facilitate Russian-Ukrainian negotiations, the Jerusalem Post writes",meter-true,nrpublic
2084,Negotiations between Russia and Ukraine have ended - Kraina edition,meter-true,nrpublic
2085,Germany is ready to accept all refugees from Ukraine — the German Foreign Ministry,meter-true,nrpublic
2086,Prime Minister of Ukraine Denys Shmyhal said that the country is already preparing an application for joining the EU.,meter-true,nrpublic
2087,The petition against the war in Ukraine has already been signed by more than 1 million people,meter-true,nrpublic
2088,"EU countries intend to increase military support for Ukraine, Borrell said.",meter-true,nrpublic
2089,"Meanwhile, negotiations between Russia and Ukraine have been going on for 4 hours. The parties took a break. Negotiations will resume soon.",meter-true,nrpublic
2090,"More than 500,000 refugees fled from Ukraine to neighboring countries — the UN High Commissioner for Refugees",meter-true,nrpublic
2091,Macron called for the protection of the civilian population of Ukraine and an end to hostilities,meter-true,nrpublic
2092,The meeting of the UN General Assembly regarding Ukraine began with a moment of silence,meter-true,nrpublic
2093,"In a telephone conversation, British Prime Minister Johnson promised Zelensky to provide new military support to Ukraine in the coming hours and days.",meter-true,nrpublic
2094,"Putin told Macron that Russia is open to negotiations with representatives of Ukraine, the Kremlin said.",meter-true,nrpublic
2095,"Putin - Macron: Settlement in Ukraine is possible with its demilitarization and denazification, neutral status and recognition of Crimea",meter-true,nrpublic
2096,Interfax: negotiations between Russia and Ukraine have been completed,meter-true,nrpublic
2097,"Ukraine demands to exclude Russia from Interpol, London agrees with this - the British Ministry of Internal Affairs",meter-true,nrpublic
2098,"Negotiations between Russia and Ukraine have not yet been completed, the third round is ongoing, the source said.",meter-true,nrpublic
2099,Zelensky signed Ukraine's application for joining the European Union,meter-true,nrpublic
2100,"Nebenzya: For Russia, Ukraine's accession to NATO is a ""red line""",meter-true,nrpublic
2101,"Ksenia Sobchak: First Channel decided to close ""Evening Urgant"" The closure of the program may be related to the fact that Ivan Urgant spoke against the war with Ukraine.",meter-true,nrpublic
2102,"The ""Servant of the People"" party confirmed that Zelensky signed the application for Ukraine's membership in the EU",meter-true,nrpublic
2103,"BelTa is the first statement after the negotiations. The Ukrainian side: ""The parties are going to the capital for consultations""",meter-true,nrpublic
2104,The delegations of Ukraine and Russia are now returning to their capitals,meter-true,nrpublic
2105,Russia and Ukraine will hold a second round of negotiations regarding the situation in Donbas in the near future,meter-true,nrpublic
2106,"Slutsky: The Ukrainian delegation was ready to listen and participate in the most detailed and detailed discussion of the essence of the issue. It is very important. What will be the continuation, it will be shown in the coming days",meter-true,nrpublic
2107,Negotiations between Russia and Ukraine lasted 5 hours today,meter-true,nrpublic
2108,The Verkhovna Rada will prepare a draft law on the confiscation of all Russian property in Ukraine,meter-true,nrpublic
2109,Medinsky: The leadership of the delegations of Russia and Ukraine will consult with the leaders of the countries on all positions of the negotiations before the next meeting,meter-true,nrpublic
2110,The Euroleague announced that it will cancel the results of Russian basketball clubs in the regular championship in the event of an unfavorable development of the situation in Ukraine,meter-true,nrpublic
2111,Ukrainian mass media report on two powerful explosions in Kyiv,meter-true,nrpublic
2112,Ukrainian media: Three powerful explosions just thundered in Kharkiv. There is shelling,meter-true,nrpublic
2113,Makey: Belarus is ready to contribute to the resolution of the crisis between Russia and Ukraine,meter-true,nrpublic
2114,"The second round of negotiations between Russia and Ukraine should take place in two days, according to RT's source.",meter-true,nrpublic
2115,"Finland will send Ukraine 2,500 assault rifles, 150,000 cartridges, 1,500 anti-tank charges and 70,000 dry rations.",meter-true,nrpublic
2116,"At the next meeting between Russia and Ukraine, a specific conversation will take place regarding the points on which it was possible to achieve progress, Leonid Slutskyi said",meter-true,nrpublic
2117,"Ukraine has turned to the European Union with a request for the provision of military equipment, including air defense and missile defense systems, as well as guns, mortars and assault rifles",meter-true,nrpublic
2118,"The Belarusian army insists that it does not take part in the battles. The Ministry of Defense of Belarus reports that the country's armed forces are carrying out tasks ""to strengthen the protection of the state border"" with Ukraine.",meter-true,nrpublic
2119,Biden does not want to introduce a no-fly zone over Ukraine.,meter-true,nrpublic
2120,Spartak Moscow is excluded from the current draw of the Europa League by the decision of UEFA due to the situation in Ukraine,meter-true,nrpublic
2121,OnlyFans supported Ukraine and repainted its logo in the colors of the flag. The country's logo is displayed every time the website pages are updated.,meter-true,nrpublic
2122,The European Union will transfer space intelligence data on Russian troops to Ukraine - Borel,meter-true,nrpublic
2123,"Croatia will send €16.5 million worth of weapons, rifles and machine guns to Ukraine - Minister of Defense Mario Banozych",meter-true,nrpublic
2124,Johnson called on G7 leaders to continue supplying defense weapons to Ukraine and help resolve the humanitarian crisis.,meter-true,nrpublic
2125,The authorities of San Marino will support Western sanctions against Russia in connection with the events in Ukraine,meter-true,nrpublic
2126,"The presidents of Bulgaria, the Czech Republic, Estonia, Latvia, Lithuania, Poland, Slovakia, and Slovenia believe that Ukraine deserves the prospect of immediate accession to the European Union, according to the statement",meter-true,nrpublic
2127,"Norway will send 2,000 M72 anti-tank grenade launchers to Ukraine to protect against Russian armed forces - Reuters reports",meter-true,nrpublic
2128,The Investigative Committee of Russia is investigating former Prime Minister of Ukraine Turchynov,meter-true,nrpublic
2129,Elon Musk's Starlink satellite internet is already in Ukraine. This was announced by the Minister of Digitalization Mykhailo Fedorov.,meter-true,nrpublic
2130,"Canada will send anti-tank weapons to Ukraine, Trudeau said.",meter-true,nrpublic
2131,"Today, the European Parliament will adopt a resolution calling on the EU to work on granting Ukraine the status of a candidate for EU membership, The Guardian reports.",meter-true,nrpublic
2132,"The White House does not specify whether it supports the call for Ukraine to join the EU, but states that this issue should be decided by the Europeans.",meter-true,nrpublic
2133,The US is confident that Russia's steps towards de-escalation in Ukraine will lead to the start of negotiations on the lifting of sanctions,meter-true,nrpublic
2134,"NATO is not going to send troops into Ukraine, Trudeau said.",meter-true,nrpublic
2135,"THR: Hollywood studios have begun discussing canceling future film releases in Russia due to the conflict in Ukraine ""Batman"" is likely to be released locally, but what will happen next is still unclear",meter-true,nrpublic
2136,"Boris Grebenshchikov: ""The war with Ukraine is madness. And the people who started it are the shame of Russia""",meter-true,nrpublic
2137,"Zelensky: 56 missile strikes were carried out in Ukraine during the five days of the invasion, 113 cruise missiles were fired",meter-true,nrpublic
2138,All mobile operators of Ukraine have banned calls from Russian SIM cards on the territory of the country,meter-true,nrpublic
2139,"The premiere of the new ""Batman"" was canceled in Russia a day before the premiere. The release will not take place because of Russia's invasion of Ukraine.",meter-true,nrpublic
2140,"Kadyrov said that among the natives of Chechnya there are losses in Ukraine: two died, six more were wounded of various degrees",meter-true,nrpublic
2141,"Visa is working to comply with sanctions due to the situation around Ukraine. Also, the Visa Foundation will allocate a grant of $2 million to the United Nations Children's Fund to support humanitarian aid to Ukraine.",meter-true,nrpublic
2142,The administration of the French city of Colmar dressed its Statue of Liberty in the colors of the Ukrainian flag. The action was held as a sign of solidarity with the people of Ukraine.,meter-true,nrpublic
2143,"The number of refugees who arrived in Poland from Ukraine has exceeded 377,000, the border guard reports.",meter-true,nrpublic
2144,Skoda is reducing the production of passenger cars due to a critical shortage of parts.,meter-true,nrpublic
2145,Mark Hamill (aka Luke Skywalker) spoke in support of Ukraine.,meter-true,nrpublic
2146,"February 24: The US believes that Kyiv ""will be taken within 96 hours"", writes Newsweek citing officials March 1: Kyiv, like most cities, is still under Ukrainian control",meter-true,nrpublic
2147,"The Office of the United Nations High Commissioner for Refugees estimates the number of refugees from Ukraine since February 24 to 660,000",meter-true,nrpublic
2148,The Ukrainian military showed the Russian army dry cleaners - they turned out to be 7 years out of date,meter-true,nrpublic
2149,"NATO does not seek a conflict with Russia and insists on a diplomatic settlement of the conflict in Ukraine, Stoltenberg said.",meter-true,nrpublic
2150,"In Ukraine, the ""Air Alarm"" application is launched, which will notify about danger in a specific region. It can be downloaded: Google Play Market",meter-true,nrpublic
2151,"Poland does not send its planes to Ukraine because NATO is not a party to the conflict, Duda said.",meter-true,nrpublic
2152,"At the request of Kyiv, YouTube blocked the Russian Channel One, TV channels ""Zirka"", TNT and others in Ukraine - Ukrainian Minister of Culture Tkachenko",meter-true,nrpublic
2153,"I can honestly say, we cannot provide a no-fly zone over Ukraine, this will lead to a direct confrontation with Russia - British Prime Minister Johnson.",meter-true,nrpublic
2154,"The second round of negotiations between Russia and Ukraine may take place on March 2, Ukrainian publications cite Ukrainian diplomatic sources.",meter-true,nrpublic
2155,Hungary supported the accelerated accession of Ukraine to the EU,meter-true,nrpublic
2156,"Ukraine is in contact with Turkey to get more Bayraktar drones, Ukrainian Ambassador to Great Britain Vadym Prystaiko said this while answering questions from the British media.",meter-true,nrpublic
2157,"The governor of the Stavropol region laid out the letter Z folded into a St. George's ribbon ""I support our troops, who are currently conducting a special operation in Ukraine. I support the President of Russia.""",meter-true,nrpublic
2158,"In Ukraine, VKontakte was unblocked. The Ministry of Internal Affairs calls on citizens to demoralize the enemy with information warfare",meter-true,nrpublic
2159,The European Parliament stands and applauds Zelensky Europeans admire the courage and resilience of the Ukrainian President — broadcast of the meeting,meter-true,nrpublic
2160,"Raiffeisen Bank is studying the possibility of leaving Russia due to the situation in Ukraine, Western agencies report.",meter-true,nrpublic
2161,Oschadbank shares have collapsed by 91% since the day of the invasion of Ukraine - data from the London Stock Exchange,meter-true,nrpublic
2162,"State Duma deputy Denys Maidanov suggested blocking Instagram, Facebook, and Twitter during the ""special operation in Ukraine."" He also called for stronger control over VKontakte and Odnoklassniki",meter-true,nrpublic
2163,"Ukraine is not calling on NATO to engage in hostilities, but is asking for its support, Kuleba said.",meter-true,nrpublic
2164,"In Poland, a criminal case was opened regarding the attack on Ukraine - the Polish Prosecutor General",meter-true,nrpublic
2165,"In a conversation with Sholtz, Zelenskyi stated the need to close the airspace over Ukraine and called for speeding up work on the country's admission to the EU",meter-true,nrpublic
2166,The Chancellor of Austria said that Russia will be held accountable if Austrians are harmed in Ukraine and for a possible war crimes investigation.,meter-true,nrpublic
2167,Up to 4 million people could already leave Ukraine - UN,meter-true,nrpublic
2168,"The Minister of Foreign Affairs of Ukraine, Kuleba, announced that he had appealed to China to put pressure on Russia",meter-true,nrpublic
2169,"Ukrainian TV channels reported problems with broadcasting The presenters of ""Ukraine-24"" and ""1+1"" had time to report problems with the TV signal and asked everyone to switch to their streams on YouTube.",meter-true,nrpublic
2170,The Ministry of Emergency Situations of Ukraine reports that 5 people died during the attack on the TV tower,meter-true,nrpublic
2171,"Comedians Denys Chuzhiy, Danylo Poperechnyi and Mykhailo Shats talked about the threats. Previously, they opposed the war in Ukraine",meter-true,nrpublic
2172,"Biden ordered the release of 30 million barrels of oil from the strategic reserve in connection with the situation around Ukraine, the US Department of Energy reports.",meter-true,nrpublic
2173,"Turkey considers the EU's initiative to consider Ukraine's accession to the European Union to be a positive initiative, Erdogan said.",meter-true,nrpublic
2174,"Norway will ban the sale of Russian-made alcohol in its stores due to the escalation of the crisis in Ukraine, Reuters reported.",meter-true,nrpublic
2175,"Zelenskyi said that during the conversation with Biden, they discussed sanctions against Russia and support for Ukraine in the field of defense.",meter-true,nrpublic
2176,"Canada will send $79 million worth of humanitarian aid to Ukraine, CTV reported.",meter-true,nrpublic
2177,Great Britain imposes sanctions against Belarus for its role in Russian special operation in Ukraine,meter-true,nrpublic
2178,"Roskomnadzor threatened to block ""Wikipedia"" due to the article ""Russia's invasion of Ukraine 2022""",meter-true,nrpublic
2179,The International Criminal Court in The Hague will consider Ukraine's lawsuit against Russia on March 7-8,meter-true,nrpublic
2180,An emergency meeting of the UN General Assembly on the situation in Ukraine begins,meter-true,nrpublic
2181,Ukrainian football player Oleksandr Zinchenko came to the FA Cup match with a captain's armband and a Ukrainian flag,meter-true,nrpublic
2182,Official channel of the Verkhovna Rada of Ukraine: Explosions are heard again in Kyiv,meter-true,nrpublic
2183,"The IMF may consider Ukraine's request for urgent financial assistance next week, the organization said",meter-true,nrpublic
2184,The UN International Criminal Court in The Hague has scheduled a hearing for March 7-8 regarding Ukraine's appeal against Russia,meter-true,nrpublic
2185,"In Moscow, they detained two women and their children who came to lay flowers at the Embassy of Ukraine with a ""No War"" poster. They wanted to leave them at the Ukrainian Embassy for the night, but were released after the arrival of a lawyer.",meter-true,nrpublic
2186,How the capitalization of Russian companies fell on foreign exchanges after the special operation of Russian troops in Ukraine,meter-true,nrpublic
2187,"China will promote the development of dialogue between Russia and Ukraine to resolve the conflict, the Chinese Foreign Ministry said.",meter-true,nrpublic
2188,Negotiations between Ukraine and Russia in Belarus are possible closer to the end of the week - the source of Interfax,meter-true,nrpublic
2189,The Ministry of Foreign Affairs of China on the possibility of a conversation between Xi Jinping and Zelensky in the coming days: Beijing supports an open channel of communication with Ukraine,meter-true,nrpublic
2190,"The flag of Ukraine was removed from the territory of the embassy in Moscow, the sign was dismantled",meter-true,nrpublic
2191,Minister of Defense of Ukraine Oleksiy Reznikov: The amount of aid we receive is increasing. New Bayratars have already arrived in Ukraine and are on combat duty. There will be more stingers and javelins,meter-true,nrpublic
2192,Negotiations between Russia and Ukraine can take place in the evening of March 2,meter-true,nrpublic
2193,Ukrainian mass media report on the threat of a missile strike in Kyiv,meter-true,nrpublic
2194,Spain will supply offensive weapons to Ukraine - Prime Minister,meter-true,nrpublic
2195,"The Embassy of Ukraine in Russia is closed. The employees have left, the gates are sealed, and the flag has been removed.",meter-true,nrpublic
2196,Ukraine has closed shipping in the northwestern region of the Black Sea - the General Staff of the country's Armed Forces,meter-true,nrpublic
2197,The World Bank will support Ukraine in the amount of $3 billion.,meter-true,nrpublic
2198,"Advisor to the President of Ukraine on the date of further negotiations with Russia: it is being discussed, a meaningful agenda is needed",meter-true,nrpublic
2199,The mayor of Konotop (Ukraine) announced that the Russian military issued an ultimatum: either he surrenders the city or the city is blown up with artillery.,meter-true,nrpublic
2200,Macron will deliver an address on Ukraine at 10:00 p.m. Moscow time,meter-true,nrpublic
2201,"NATO will not intervene in the situation in Ukraine militarily, it would be a mistake - the chancellor of Germany",meter-true,nrpublic
2202,Turkey is ready to hold negotiations between Russia and Ukraine in Istanbul - the press secretary of the ruling party.,meter-true,nrpublic
2203,Russian Foreign Ministry: NATO's words that the alliance will not intervene militarily in the situation in Ukraine show that they still have common sense left,meter-true,nrpublic
2204,"More than 830,000 people left Ukraine - UN",meter-true,nrpublic
2205,"The band ""Mummy Troll"" announced that it is stopping concert activities due to the situation in Ukraine",meter-true,nrpublic
2206,"Andrzej Duda: more than 500,000 refugees from Ukraine have arrived in Poland",meter-true,nrpublic
2207,Porsche will stop production at the plant in Leipzig due to a lack of parts from Ukraine,meter-true,nrpublic
2208,"Roskomnadzor confirmed that it sent ""Wikipedia"" a message about the need to remove ""unreliable information on the subject of a military operation in Ukraine""",meter-true,nrpublic
2209,"Ukrainian football player Rakytskyi terminated his contract with ""Zenith""",meter-true,nrpublic
2210,"Citizens leaving Russia spoke about the interrogations of border guards at airports - they are interested in the purpose and duration of the trip, as well as their attitude towards the president and the special operation in Ukraine.",meter-true,nrpublic
2211,"In a letter to employees, EA Sports informed about the decision to remove Russia from FIFA and NHL series games due to the situation in Ukraine, Sports.ru reports with reference to insider Tom Henderson.",meter-true,nrpublic
2212,"Ukraine promises to hand over Russian prisoners to their mothers, if they themselves come for them. Interior Ministry Adviser Anton Gerashchenko gives mothers of prisoners a detailed algorithm of actions regarding the return of their children.",meter-true,nrpublic
2213,"An all-Russian lesson dedicated to the liberation mission in Ukraine will be held by the Ministry of Education on March 3, the ministry's press service reports.",meter-true,nrpublic
2214,Central Bank of Ukraine: bank cards of Russia and Belarus no longer work in Ukraine,meter-true,nrpublic
2215,Hungary has decided not to send troops or weapons to Ukraine,meter-true,nrpublic
2216,"The second round of negotiations between Russia and Ukraine will be held in Bialowieza Pushcha, where the agreements that ended the USSR were signed.",meter-true,nrpublic
2217,Biden said that he is trying to establish indirect contact with China regarding the situation in Ukraine.,meter-true,nrpublic
2218,Biden said that the question of Ukraine's possible membership in NATO should be decided by the alliance itself and Kyiv.,meter-true,nrpublic
2219,Biden: Zelenskyy should decide for himself whether to stay in Ukraine,meter-true,nrpublic
2220,"Biden has no intention of sending US troops to Ukraine, said First Deputy Secretary of State Sherman.",meter-true,nrpublic
