,claim
966,"Russian President Vladimir Putin tried to justify his war by pointing to the legacy of the NATO intervention in the former Yugoslavia in 1999, but Kosovo President Vjosa Osmani sees a different parallel."
967,"The country will need large investments and support, but progress won’t be possible or enough without security."
968,Read a transcript of David's latest Q&A with readers. 
969,Russia’s antiwar movement has found creative ways to express dissent despite President Vladimir Putin’s hard line crackdown.
970,"The aid lifeline for millions of people in northern Syria is up for debate in the Security Council, during worsening tensions over war in Ukraine. "
971,Turkey should stop flirting with Putin and side with the West.
972,Officials studied ancient and modern military rites to create fitting send-offs for mounting numbers of fallen soldiers.
973,"The message echoed a video in which Ukraine's president and his advisers walked the streets of Kyiv on Day Two of the invasion, setting the tone for his communications ever since."
974,"Rather than predicting military victory, he quotes Zelensky saying the war ""will only definitively end through diplomacy."""
975,"Europe aims to lead the global fight against climate change by rapidly shifting away from fossil fuels. Yet in the wake of the pandemic, the continent was rocked by disruptions in its energy supply that caused prices to surge -– even before the turmoil triggered by Russia’s invasion of Ukraine. Now the forces have combined to put Europe’s so-called energy transition onto something of a wartime footing, testing the limits of an accelerated timeline to adopt new technologies and leaving consumers"
976,Ukraine’s prosecutor general said 21-year-old Vadim Shishimarin would stand trial in the killing of an unarmed resident in the Sumy region.
977,It is vital to step back from the emotions stirred by this conflict and assess our real security priorities.
978,"In his Victory Day speech, President Vladimir Putin falsely called Ukrainians “Nazis” and insisted without evidence that Kyiv was planning to build nuclear weapons."
979,"The United States provided Ukraine with intelligence that helped Kyiv identify, attack and sink the flagship of Russia’s Black Sea fleet, the Moskva, in one of the most dramatic battlefield successes of the 71-day-old war, according to people familiar with the matter."
980,"The Belarusian opposition wants to see tougher sanctions placed on Belarus President Alexander Lukashenko, including asset freezes on cronyism allies and state firms along the lines of what the West has deployed against Russia. "
981,"Sarah Hirshland continued her organization's push, in part because of Russia's invasion of Ukraine and also for the doping scandal that has kept several American figure skaters from getting their Olympic medals. "
982,Finland joining would double the alliance's land border with Russia.
983,"The addition of Western artillery in Ukraine is expected to set off a bloody battle of wits, forcing both sides to grow more nimble if they hope to avoid significant fatalities as fighting intensifies in the east."
984,"The United States’ top defense officials on Tuesday urged more nations to provide more weaponry, at a faster pace, to Ukraine as it prepares for the next phase of its defense against Russian aggressors."
985,"The unanswered questions my mother lived with haunted her life, and so much of mine."
986,"Even as the United States and European countries slowly move to decarbonize their economies, they are driving billions of dollars in new, near-term investment in fossil fuels. "
987,"Russia's invasion of Ukraine has upended Eastern Orthodoxy, deepening religious rifts between the two countries. "
988,The trip would be the first for high-level Biden officials since the invasion and comes as Russia ramps up bombardment in Ukraine’s south and east.
989,"A new report found that only six of 29 countries spanning from Central Europe to Central Asia managed to maintain a “consolidated” democracy, while most others drifted toward authoritarianism or a bleak “gray zone” where the trappings of democracy truss up illiberal or autocratic political project. "
990,"A 19-year-old says she is ready to volunteer to fight for her country, dismissing old assumptions about guilt and militarism."
991,Sri Lanka was already struggling with its worst economic downturn in decades. Now the conflict in Ukraine has sent food and fuel prices soaring. 
992,"For nearby countries, the war is a crisis of security and politics. But countries much further afield have been impacted, too."
993,The global ballet community rallies to help young Ukrainians and families find new homes — and pursue their art.
994,A majority of Americans now say Russia is an enemy. But they differ on how we should handle that enemy.
995,"China indicated less interest in discussing the violence in Ukraine or its support for Russia, preferring to keep the focus on areas of Chinese-E.U. cooperation. "
996,"Sanctions are punishing Russia's economy, and China's economy looks newly vulnerable, too."
997,"Thousands of miles away from Ukraine, the Russian invasion and the plight of millions of Ukrainian refugees carry deep significance in Nemuro, in the far northeast of Japan where more than 17,200 former residents of the Northern Territories resettled."
1011,“Gas prices are down back to where they were before Russia invaded Ukraine.”
1108,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade."""
1196,"""In 2020, more journalists were killed in Mexico than in any other country in the world."""
1217,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020."""
1251,"The Trump administration worked to free 5,000 Taliban prisoners."
1252,"In Afghanistan, “over 100 billion dollars spent on military contracts.”"
1301,"""This election actually was not unusually close."""
1312,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”"
1323,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”
1351,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.
1394,"Witnesses have been part of ""every other impeachment trial the Senate has ever had."""
1398,"In 1988, in response to Iran’s attack on the U.S.S. Samuel Roberts, President Ronald Reagan ""destroyed half of Iran’s Navy."""
1414,"The United States is the only nation ""that grants legal permanent residency to more than a million people per year."""
1434,"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region."""
1445,"""The last time people (created a Hollywood blacklist), people ended up killing themselves … They were accused, and they lost their right to work."""
1460,"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city."
1476,"Says immigrant military service members applying for U.S. citizenship ""are getting rejected at higher numbers than those who are not veterans."""
1478,"""In fact, ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars."""
1491,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County."""
1517,"""I have more military experience than anybody who’s arrived behind that desk since George H.W. Bush."""
1525,"""The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry."""
1536,"The National Defense Authorization Act for fiscal year 2019 ""includes the largest pay raise in nearly 10 years."""
1539,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War."""
1585,"""The Railroad Commission of Texas has nothing to do with railroads."""
1594,"""When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years."""
1598,"""We’ve been down this road before—blanket protectionism is a big part of why America had a Great Depression."""
1617,"""In one day of fundraising I received more small donor (contributions) than Andrew Cuomo received in seven years."""
1626,"The 2018 Academy Awards show was the ""lowest rated Oscars in HISTORY."""
1630,Says Stephen F. Austin and James Bowie promoted slavery.
1631,"""It’s now constitutional to ban [assault weapons] in Illinois. Yet, the Illinois General Assembly has failed to allow other cities to have that opportunity."""
1643,"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians."""
1653,"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith."""
1657,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history."""
1664,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor."""
1694,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year."""
1698,"""Texas leads the country in animal deaths by sodium cyanide M-44s."""
1700,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough."""
1702,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet."""
1712,"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter."""
1715,"""More than 20 million people are at risk of dying from starvation within 6 months in 4 nations."""
1718,"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war."""
1730,"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization."""
1751,"Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II."""
1767,"Says John Bolton supported the Iraq War and said last year that ""I still think the decision to overthrow Saddam was correct."""
1778,"Says Donald Trump ""was asked if he would defend our allies. He said well, first he'd want to know if they made any payments to us to defend them."""
1781,"""We’re already bombing seven countries."""
1786,"""Refugees are subject to more rigorous screening than the average tourist in the U.S."""
1815,"Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent."""
1820,"""While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a ‘successful’ terrorist attack during the eight years before President Obama’s 2008 election."""
1833,"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity."""
1845,"Speakers at the Democratic National Convention made ""zero mentions of the global terrorist threat posed by ISIS."""
1873,"Says Hillary Clinton ""said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers."""
1886,"""A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful."""
1896,"""You can import as many hemp products into this country as you want...but we can’t grow it."""
1917,"When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture."""
1925,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, ""dragging the American flag on the ground like it was a piece of garbage."""
1927,"""More than once, I've actually had a conversation with the protesters on substance."""
1936,"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do."""
1942,"Says Donald ""Trump supported impeachment of President (George W.) Bush."""
1947,Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.
1952,"China is ""practicing how to blow up our satellites."""
1954,"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces."""
1960,"""Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars."""
1961,"""Today, if you were raised poor, you’re just as likely to stay poor as you were 50 years ago."""
1965,"Guantanamo has ""never been a key component of ISIS or al-Qaida propaganda."""
1970,"""If you are going to kill the families of terrorists, realize that there's something called the Geneva Convention we're going to have to pull out of."""
1983,"""Instead of fighting ISIS, (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen."""
1989,"When President Barack Obama said ISIS, or ISIL, was contained, he ""was responding very specifically to the geographic expansion of ISIL in Iraq and Syria."""
1990,Says income tax rates under Eisenhower were as high as 90 percent.
2016,"Says ""Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasn't popular."""
2017,The racial and ethnic makeup of the Gwinnett County Sheriff’s Office mirrors the community it serves.
2018,"On the main GOP presidential debate: ""Not one candidate on the debate stage has military experience … """
2022,"""Eighty-three law enforcement officers have died in the line of duty this year. Twenty-four of them were shot and killed in cold blood."""
2028,"""Saudi Arabia has the third-largest military budget in the entire world."""
2030,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history."""
2064,"Only five states, including Georgia, do not have a hate crimes law."
2069,"Between 1980 and 2010, water usage in Georgia dropped even as the state’s population grew."
2070,"""46 percent of women between the age of 16 to 24 despise sexual contact"" in Japan."
2076,"The Confederate battle flag at the South Carolina statehouse ""must fly at a height of 30 feet. Any changes -- taken down, or even at half-staff, if that can be done -- must be passed by a supermajority of the General Assembly."""
2092,"""During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country."""
2095,"""When we moved into the White House, we had the lowest net worth of any family since Harry Truman."""
2101,"""Hillary Clinton’s State Department sent three comedians to India on the ‘Make Chai, Not War’ tour."""
2109,"Under current conditions, by 2023, the interest payments on the national debt will be $722 billion, larger than the projected defense spending of $696 billion."
2135,"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001."""
2138,"""After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding."""
2141,"The United States ""decided waterboarding was torture back when we court-martialed American soldiers for waterboarding Philippine insurgents in the Philippine revolution."""
2142,"""We're spending millions for each individual"" held at Guantanamo Bay, Cuba."
2154,"""Before World War II, very few people actually had health insurance."""
2161,The state’s overall revenues only returned this year to 2007 levels.
2164,"More women were killed by their husbands or boyfriends since Sept. 11 than ""all the Americans who were killed by 9/11 or in Afghanistan and Iraq."""
2168,"""We have a retiree that is collecting a $17,000 paycheck a month . . . tax free."""
2174,"""Countries bombed: Obama 7, Bush 4"""
2180,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on."""
2185,"""We cut our deficits by more than half."""
2190,"""Washington has incentivized the militarization of local police precincts."""
2195,"Says Charlie Crist rode on a jet that ""belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water."""
2200,"""The House of Representatives has never sued a sitting president in all of U.S. history."""
2231,"""At the beginning of World War II, we had a relatively small army, smaller than Portugal’s."""
2257,"""Did you know US population growth is at its lowest since the Great Depression?"""
2261,"During Lyndon B. Johnson’s first 20 years in Congress, ""he opposed every civil rights measure that came up for a vote."""
2265,Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention.
2266,"""When people enter the service, there’s not a mental health evaluation."""
2270,Georgia has recovered more than $60 million that was lost to Medicaid fraud
2277,"Says Abraham Lincoln tried to buy slaves' freedom in border states, but the states ""all rejected it."""
2280,"In the U.S., ""African-Americans continue to be arrested at nearly three and one half times the rate of whites"" on marijuana charges."
2287,"""Over the past three years, ‘deep poverty’ has reached its highest level on record."""
2289,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people."""
2290,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine."""
2291,Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.
2302,"""We’ve had the private sector more than double the investment that was made by the public sector"" at Quonset Business Park."
2311,"Members of the military don’t ""contribute toward their pension."""
2312,"""The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined."""
2321,"""We, the bishops of the United States -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care."""
2322,"""Just days ago, Iran's Supreme Leader (Ali) Khamenei, who will oversee implementation of this agreement, was calling Israel a 'rabid dog' and accusing the United States of war crimes."""
2329,"""Things went wrong with the Medicare prescription D plan that George Bush rolled out."""
2335,"The U.S. Department of Homeland Security warned that the SAVE ""database is not a foolproof means of verifying (citizenship on) the voter rolls."""
2348,"""For the first time since the Korean War, total federal spending has gone down for two years in a row."""
2349,"""There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate."""
2355,"President Barack Obama ""had the legal authority"" to strike Syria without a vote from Congress."
2360,Says he would be first CPA to serve as Texas comptroller.
2363,"Fleeing Syria, ""a million children are now refugees."""
2367,"""They’ve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented."""
2370,"Says ""our deficits are falling at the fastest rate in 60 years."""
2376,"""Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan."""
2382,"""During the Civil War, more than 300,000 Ohioans served in the Union Army -- more per capita than any other state."""
2394,"""Despite having their budget increased by over 40 percent since 2009 … pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration."""
2404,"""Nearly 65 percent -- almost two-thirds -- of all new permanent residents obtained that status by virtue of their family status."""
2405,"Says Jeb Bush ""flip-flop-flip(ped) on immigration."""
2412,"Says ""right now, we have more military spending than the next 10, 11, 12 countries combined."""
2413,"""A majority of Americans agree with"" a ban on assault weapons. ""And by the way, so did Ronald Reagan."""
2415,"""Approximately 43 percent of all college grades today are A's, an increase of 28 percentage points since 1960."""
2419,"Since 1968, ""more Americans have died from gunfire than died in … all the wars of this country's history."""
2432,Says veterans’ disability claims backlog doubled in Obama’s first term.
2436,"""There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs."""
2448,"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse."""
2467,"The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression."
2480,Says women care most about jobs and the economy
2486,Georgia spends fewer tourism advertising dollars than any other state in the South.
2492,"""There are close to 900,000 unemployed veterans in America right now."""
2512,"Ronald Reagan ""raised taxes in 1982, 1984, 1985, 1986 and 1987."""
2513,"""Three of our cities are among the top five worst cities in the U.S. for asthma."""
2517,"Says lawyer appointed by Eric Holder to investigate government leaks helped and donated to Obama's campaign, vetting vice presidential prospects."
2523,"""In the 2000 Florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. Many of those who were dropped showed up to vote and were told they could not."""
2525,"President Obama budget request for veterans is ""more than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third."""
2526,"""The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios."""
2538,"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast."""
2541,"""Wisconsin lost more jobs over the past 12 months than any other state."""
2555,"Says Gloria Steinem once called Kay Bailey Hutchison a ""female impersonator."""
2565,"Rhode Island has the ""the second-most heavily deployed National Guard in the United States."""
2580,"""Before this day is out, 18 more veterans will have taken their own lives.  That is the daily average, it is intolerable, and it has to stop."""
2595,Says Ron Paul doesn’t believe in marriage licenses.
2600,"""I've done more impeachments than anybody else in the history of the country."""
2613,"The balanced-budget amendment once came within one vote of passing Congress but was defeated because of the no vote from a top Senate Republican, and Rick Santorum says he ""stood up and called for him to resign his chairmanship."""
2620,"""Torture is illegal by our laws. It's illegal by international laws."""
2634,"The federal government is spending $46,000 a year per family (or group of four) and could balance its budget by dropping that to $30,000."
2637,"Says an amendment specifying when military members may use deadly force ""does nothing to change existing rules of engagement for American service members."""
2646,"""The ratio of corporate profits to wages is now higher than at any time since just before the Great Depression."""
2647,"Congressional Budget Office ""says 8 (percent) unemployment till 2014!"""
2658,"""For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000."""
2660,"""The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent."""
2662,"""The deficit was on track to top $1 trillion the year I took office."""
2663,"""Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, it's actually the rule."""
2668,"Republican redistricting plans cut Democrat Nancy Nusbaum out of  ""her state Senate district by a half a block."""
2676,"""Young veterans have a higher unemployment rate than people who didn’t serve."""
2682,"""Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually."""
2683,"Says President Obama ""has fired more cruise missiles than all other Peace Prize winners combined."""
2690,"The U.S. is spending ""one out of every six Defense Department dollars on Afghanistan."""
2710,"""Sometimes I was the only 'no' vote on the entire board."""
2711,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product."
2716,"""We're within 600 miles of 60 percent of America. We're in a perfect location."""
2721,"The Bush tax cuts ""helped to create a substantial part of the deficit."""
2725,"""Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP]."""
2726,"If we had the same staffing ratio (of officers to residents) as Seattle, we'd have 300 more officers in our department."""
2731,"President Obama has ""stopped using the phrase 'war on terror.' """
2734,"""From '05 to '09, we've had 1,100 soldiers commit suicide, one every 36 hours."""
2740,"Says a Lubbock terror suspect’s alleged plan ""to use baby dolls to conceal chemical explosives"" is similar to a 1995 plot ""to blow up 12 jumbo jets over the Pacific Ocean."""
2743,The coalition of Arab states against Libya’s Moammar Gadhafi is the biggest coalition against a fellow Arab leader since the Persian Gulf War in 1990-1991.
2753,"""The cost for renovating the headquarters of the U.N. has doubled from the original estimate."""
2756,"""One of the biggest causes of our soaring debt and economic insecurity ends up being Pentagon spending. The budget for the Pentagon consumes more than half of our discretionary spending."""
2758,"The United states is ""borrowing more than 40 cents of every dollar we spend."""
2773,"""Some of the men serving in the (Afghan) armed forces have never driven a vehicle before."""
2776,"Says the person who Florida U.S. Rep. Allen West first hired as chief of staff told people attending a Tea Party rally that, 'We will use bullets if ballots don't work.'"
2777,"""Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy."""
2793,"""Nobody has played clips over and over ... of President Obama (saying), 'If they bring a knife to the fight, we'll bring a gun.' """
2794,"Federal spending is ""the highest it's been as a share of our economy in 60 years (and) revenue is the lowest it's been as a share of our economy in 60 years."""
2802,"""Decorated Marine, two-tour Iraq war vet."""
2807,"""I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran."""
2833,"Jennifer Carroll is the ""first African-American Republican woman to be part of a statewide ticket in Florida."""
2835,Says a highway was closed in El Paso because of bullets flying across the border.
2836,"""The federal government is now on track"" for the second-largest budget deficit ""in 65 years."""
2848,"During the recession, ""the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."""
2851,Twenty-two million jobs were created during Clinton’s two terms but only 3 million during Bush’s.
2852,"""The War in Afghanistan is officially the longest war Americans have ever been asked to endure."""
2856,"""Forty cents of every dollar being spent by the federal government is being borrowed from my children."""
2857,"""We're spending $1 trillion a year on our foreign policy."""
2859,"""Sen. McConnell offered a fully paid two-month extension of unemployment insurance."""
2860,"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service."""
2863,Democrats say Chafee wants to tax equipment that enables amputee veterans to drive
2866,"""In the last 6 years, there have been 420 elections for State Senator and State Representative. Only three incumbents have been defeated!"""
2877,"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that."""
2880,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill."""
2881,Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.
2885,"""If you will go look up the definition of 'act of God,' we've used it in legal terms for a long time in this state."""
2892,"""President Obama himself attempted to filibuster Justice Alito, who now sits on the Supreme Court."""
2895,"""On the day that (the Republican) state leader resigned in disgrace, a ‘Shred-It' truck rolled up to Republican headquarters."""
2921,"Democratic presidents ""have been considerably more effective at creating private-sector jobs."""
2925,"""No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle."""
2940,"""Barack Obama won't even use the term 'war on terrorism.'"""
2941,"""History tells us that job growth always lags behind economic growth."""
2945,"A request for ""an increase in troops sat on desks in this White House (during the presidency of George W. Bush), including the vice president's, for more than eight months, a resource request filled by President Obama in March."""
2955,"""Since World War II, only Gerald Ford and Bill Clinton have had worse ratings after seven months than President Obama."""
2959,"During a town hall meeting on health care, ""ABC didn't even allow ads that opposed the president's health care plan to be aired."""
2960,"Every year tobacco kills more Americans than did World War II — more than AIDS, cocaine, heroin, alcohol, vehicular accidents, homicide and suicide combined."
2970,"""2008 was the deadliest year of the war (in Afghanistan) for American forces."""
2971,"Obama's budget plan would ""take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent."""
2973,"""Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter."""
2975,"""We are making the largest investment in education in our nation’s history."""
2977,"""Putting three Republicans in my Cabinet...is unprecedented."""
2988,"""John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops."""
2994,"""The average South Korean is 3 inches taller than the average North Korean, a huge gulag."""
2999,"""My grandfather came home from ... (World War II) exhausted from the burdens he had borne, and died the next day."""
3001,"Senate Majority Leader Harry Reid ""said, quote, 'I can't stand John McCain.' """
3004,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""
3006,"""John McCain has voted with George Bush 90 percent of the time."""
3007,"Three years ago, John McCain said, ""Afghanistan — we don't read about it anymore in papers because it succeeded."""
3008,McCain voted 19 times against a minimum-wage increase.
3011,"Says McCain once said that on ""the most important issues of our day, I've been totally in agreement and support of President Bush."""
3015,"""Sen. McCain was already turning his sights to Iraq just days after 9/11, and he became a leading supporter of an invasion and occupation of (Iraq)."""
3017,"The musical Mamma Mia! has ""been selling out for years."""
3024,McCain has switched to Obama's position on more troops to Afghanistan.
3025,"""For at least a year now, I have called for two additional brigades, perhaps three."""
3031,"U.S. forces in Iraq and Afghanistan include a ""few thousand that are still green card holders who are not even citizens of this country."""
3036,McCain tells of a fellow Vietnam POW who was beaten for fashioning an American flag that became an inspirational symbol to fellow POWs.
3043,"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture."""
3045,"""John McCain decided to stand with George Bush 95 percent of the time (last year)."""
3047,"""Sen. Obama has been to Iraq once."""
3051,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions."""
3052,"""NATO hasn't provided enough troops (in Afghanistan) because they are still angry about us going into Iraq."""
3061,"""As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!"""
3064,"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11."""
3069,"""Iraq is costing each household about $100 a month."""
3072,Obama says Clinton in 2002 suggested there was a connection between al-Qaida and the Iraqi government.
3076,"""John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq."""
3077,Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.
3082,"""One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests."""
3084,"John McCain has said the economy is ""not his strong suit."""
3085,"Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq."""
3088,"""Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."""
3092,"""The fact is it's not amnesty."""
3098,"""Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent."""
3101,""" ... following World War II war crime trials were convened. The Japanese were tried and convicted and hung for war crimes committed against American POWs. Among those charges for which they were convicted was waterboarding."""
3103,"""George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' """
3104,"""When Pakistan erupted in crisis, I spoke to Musharraf before Bush did."""
3105,"""I get the most money from active duty officers and military personnel."""
3107,"""Three out of the 18 benchmarks of the (GAO) have been fulfilled. Even among Republican math, that is a failing grade."""
3116,"""One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth."""
3117,"""I opposed this war from the beginning. I opposed the war in 2002. I opposed the war in 2003. I opposed it in 2004 and 2005 and 2006."""
3118,"""Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day."""
3122,"""Senator McCain voted against the Bush tax cuts. Now he's for them."""
3137,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.
3153,"""Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal"""
3172,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed."
3173,"""Just last year, over 5,000 refugees came to New York state, and 94 percent settled outside of New York City."""
3189,"Says Richard Burr ""was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave."""
3210,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating."""
3244,Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State.
3253,"""The number of terrorists out there"" has doubled."
3255,"A record number of immigrants not from Mexico are ""being apprehended at the border."""
3349,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”"
3369,"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”"
3385,"""We have the lowest corporate tax rate since 1968."""
3437,"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards."""
3446,"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit."""
3456,"""China account(s) for 90 percent of North Korean trade."""
3465,"""For every extra year a girl goes to school, her income goes up 12 percent."""
3480,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust."""
