,claim,truth_value
1582,"""22 Countries Invaded by the U.S. in 20 Years.""",meter-false
1583,"""Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.""",meter-true
1584,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true
1585,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-false
1586,"Russian annexation of Crimea ""removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.""",meter-true
1587,"President Barack Obama shut down NASA space flights and turned the agency ""into a Muslim outreach department.""",meter-false
1588,"""The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.""",meter-true
1589,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off.""",meter-false
1590,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century.""",meter-true
1591,"The new Ukrainian government ""introduced a law abolishing the use of languages other than Ukrainian in official circumstances.""",meter-true
1592,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true
1593,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-true
1594,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true
1595,"""The (Russian) ruble is already going down.""",meter-true
1596,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true
1597,A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,meter-false
1598,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",meter-true
1599,"""It’s been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the Olympics.""",meter-true
1600,"""Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth.""",meter-true
1601,"""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody.""",meter-true
1602,"""In some of the states in the U.S., homosexuality remains a felony.""",meter-false
1603,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-true
1604,"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",meter-true
1605,"Republican state lawmakers ""are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.""",meter-true
1606,"Iran President Hassan ""Rouhani has more Cabinet members with Ph.D.s from American universities"" than members of Barack Obama’s Cabinet.",meter-true
1607,"The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",meter-true
1608,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false
1609,"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War.",meter-false
1610,"""Do you know those former Soviet Bloc countries have all moved to flat taxes?""",meter-true
1611,"Says ""right now, we have more military spending than the next 10, 11, 12 countries combined.""",meter-true
1612,"""The brutal fact is, when it comes to education, America is slipping"" behind other nations.",meter-false
1613,"Says Chuck Hagel has called for ""an end to our nuclear program.""",meter-false
1614,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",meter-true
1615,"""[W]e see America's prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!""",meter-true
1616,"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.""",meter-true
1617,Says the Obama administration plans to ban all weapons for U.S. citizens through international treaties.,meter-false
1618,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",meter-true
1619,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
1620,"""There are more oil rigs in operation in the United States than the rest of the world combined.""",meter-false
1621,"Massachusetts Sen. Scott Brown shows someone can be bipartisan in Congress because he ""votes about 66 percent with his own party.""",meter-true
1622,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""",meter-false
1623,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true
1624,Says Romney called Russia our No. 1 enemy.,meter-true
1625,"In his first TV interview as president, Obama said we ""should talk to Iran.""",meter-true
1626,"President Barack Obama has ""weakened the respect for America abroad.""",meter-false
1627,Says U.S. is giving seven Alaskan islands to Russia.,meter-false
1628,"""For his first interview as president, Barack Obama chose Arab TV for an apology.""",meter-false
1629,"""When we took office, let me remind you, there was virtually no international pressure on Iran.""",meter-false
1630,"""The United States imprisons more than any nation in the world.""",meter-true
1631,"At the same time gas prices have increased, ""the share of the oil market controlled by speculators has more than doubled over the past 10 years.""",meter-true
1632,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false
1633,"The U.S. has a ""record number of oil rigs operating right now – more working oil and gas rigs than the rest of the world combined.""",meter-true
1634,"""This president ... could have gotten crippling sanctions against Iran. He did not.""",meter-false
1635,"""You look at defense … we're spending more than the rest of the world combined.""",meter-false
1636,"The United States ""is number one in the world in energy resources; Russia is number two.""",meter-true
1637,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.,meter-true
1638,"""When you sanction the Iranian central bank, that will shut down (Iran's) economy.""",meter-true
1639,"The United States' regulations ""are among the most difficult in the world.""",meter-false
1640,"The United States sends ""$300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.""",meter-true
1641,"China is ""trying to develop nuclear capability.""",meter-false
1642,"""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.""",meter-true
1643,"""The United States is the No. 1 country in the world for energy resources. … We are the king daddy dogs when it comes to energy.""",meter-true
1644,"""From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station""",meter-true
1645,"Says President Obama ""has fired more cruise missiles than all other Peace Prize winners combined.""",meter-true
1646,"""Who are the most consistently misinformed media viewers? … Fox viewers, consistently, every poll.""",meter-false
1647,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",meter-true
1648,"""Anywhere in the world, when someone uses a mobile phone, e-mail, the Internet or GPS, they are enjoying the benefits of the American miracle.""",meter-true
1649,"Says the United States is ""the Saudi Arabia of coal.""",meter-true
1650,Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.,meter-false
1651,"""Foreign aid makes up about 1 percent of our entire budget.""",meter-true
1652,"""Libya supplies the oil for China. We get no oil from Libya.""",meter-false
1653,South Korea doesn't pay the United States for U.S. troops that protect their country.,meter-false
1654,"""American troops have never been under the formal control of another nation.""",meter-false
1655,"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.",meter-false
1656,"""Hitler didn't want unions. Stalin didn't want unions. Mubarak didn't want independent unions. These autocrats in history don't want independent unions.""",meter-true
1657,"""The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort...""",meter-true
1658,"""Senator Webb was a reliable vote for President Obama and Senator Harry Reid.""",meter-true
1659,"The United States is ""the only developed country in the world that has not cut its corporate tax rate.""",meter-true
1660,"Under Hosni Mubarak's rule, ""Egypt received more American dollars than any country besides Israel.""",meter-true
1661,"Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year.",meter-false
1662,"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.""",meter-false
1663,"""On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.""",meter-true
1664,"Said the Washington Post argued that a failure to pass the START treaty this year would be ""no calamity,"" and that the Associated Press said ""the administration concedes the security risk is not immediate.""",meter-true
1665,"""We're the only system of federalism in the world.""",meter-false
1666,"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.",meter-true
1667,"Georgia is ""the Saudi Arabia of pine trees.""",meter-false
1668,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",meter-false
1669,"The U.S. spends $4 billion on research and development for energy, while spending $350 billion on oil from foreign countries, ""many of whom are our enemies.""",meter-true
1670,"The White House has ""refused"" international help in dealing with the oil spill.",meter-false
1671,"""Brazil got off oil in the last 30 years.""",meter-false
1672,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",meter-true
1673,"Several times, Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .""",meter-false
1674,"""Crist stays in $2,000 a night luxury hotel suites where he racks up $1,300 in mini-bar charges, and doesn't pay for a dime of it himself.""",meter-true
1675,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",meter-false
1676,"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls.""",meter-true
1677,"In a now-viral video, ""impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'""",meter-true
1678,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",meter-true
1679,"""Obama has more czars than the Romanovs.""",meter-true
1680,"""The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.""",meter-true
1681,"""Venezuela is a country whose defense budget is probably 1/600th of the United States.""",meter-true
1682,"""Secretary Geithner has left the option on the table"" of abandoning the dollar for a multinational currency.",meter-false
1683,"""In eighth grade math, we’ve fallen to ninth place.""",meter-false
1684,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",meter-true
1685,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us.""",meter-true
1686,"""John McCain's top foreign policy adviser lobbied for... the Republic of Georgia, and McCain has mirrored the position advocated by the government.""",meter-true
1687,"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",meter-true
1688,"Barack Obama wants to ""unilaterally disarm our nation.""",meter-false
1689,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",meter-true
1690,"As first lady, Clinton would travel to places that were ""too small, too poor or too dangerous"" for the president.",meter-false
1691,"Italian former Premier Silvio Berlusconi has once again put himself at odds with current Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the nearly year-old Russian invasion",meter-true
1692,"Former Premier Silvio Berlusconi has once again put himself at odds with Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the year-old Russian invasion",meter-true
1693,The small coal-mining town of Vuhledar on Ukraine’s eastern front line has emerged as a critical hot spot in the fight for Donetsk province,meter-true
1694,"Amid inflation, power-grid cuts and other pressures applied by Russia and spilling over from the war in Ukraine, Moldova’s government resigned Friday.",meter-true
1695,President Joe Biden will travel to Poland later this month to rally allies a year after Russia’s assault on Ukraine began,meter-true
1696,Fierce battles in eastern Ukraine have thrown a new spotlight on a private Russian military group led by a rogue millionaire with longtime links to Russia’s President Vladimir Putin,meter-true
1697,Efforts to build Kyiv military capacity are both about the current fight and what comes after,meter-true
1698,U.S. troops will teach Ukrainian forces how to use the Patriot missile defense system at Fort Sill. The training could start as soon as next week.,meter-true
1699,"The Russian private mercenary group now has 40,000 convicts in battle, taken directly from Russian prisons, U.S. officials say.",meter-true
1700,Russian President Vladimir Putin said there was no need to mobilize more soldiers now.,meter-true
1701,Snubs in recent months from Kazakhstan to Tajikistan mark a regional realignment that will only sharpen as sanctions and isolation erode Russia's economic power. ,meter-true
1702,Abandoned pets roam the streets of ruined front-line towns and villages.,meter-true
1703,Moscow and Tehran have agreed on a plan to assemble Iranian-designed weapons on Russian soil.,meter-true
1704,"Since Vladimir Putin’s invasion of Ukraine, a torrent of Russians have arrived in Dubai — seeking refuge from military mobilization and international sanctions.",meter-true
1705,Gen. Mark Milley has drawn scrutiny for suggesting that winter may present Ukraine an opportunity to explore a peace deal with Russia.,meter-true
1706,NATO Secretary General Jens Stoltenberg said Wednesday that the explosion in Poland on Tuesday that claimed two lives was probably caused by a Ukrainian missile defending against Russian attack.,meter-true
1707,"At the G-20 in Bali and COP27 in Egypt, Russia has found itself in an unusual position — a leading topic of discussion rather than a leading player.",meter-true
1708,"The Polish government said a Russian-made missile fell into the village of Przewodów, about five miles from the Ukrainian border.",meter-true
1709,"The Group of 20, a club of nations that was founded to tackle the 2008 financial crisis, is desperately seeking a second act.",meter-true
1710,Ukrainian delegates hope their presence at COP27 will keep the war fresh in people's minds and spark broader discussions about the world's reliance on fossil fuels.,meter-true
1711,"U.S. monitors have inspected just 10 percent of high-risk weapons sent to Ukraine, as the Biden administration launches new measures to stop arms smuggling.",meter-true
1712,"Businessman Oleg Tinkov, who publicly criticized Russia's invasion in February, said he “can’t and won’t be associated with a fascist country.” ",meter-true
1713,"Strikes were reported in Kyiv, Kharkiv, Zaporizhzhia and other regions days after drone strikes damaged Russian warships off the coast of Crimea.",meter-true
1714,"Yevgeniy Prigozhin, the Russian tycoon behind mercenary group Wagner, personally told Vladimir Putin that military chiefs are mismanaging the war, U.S. officials said.",meter-true
1715,"As Europe has turned angrily against Moscow's war in Ukraine, Russian digital nomads have flocked to Cyprus, bringing a new buzz to a longstanding expat community.",meter-true
1716,One of the Islamic State’s newest branches is fueling a brutal conflict that has been raging in northern Mozambique for five years — and this insurgency has global implications.,meter-true
1717,The increased flow of weapons could help offset steep Russian weapons losses and provide precision-guided munitions like those used in strikes in Ukraine last week.,meter-true
1718,Kyiv region was hit by drone strikes as NATO defense ministers met in Brussels. Russia's Vladimir Putin met with Turkey’s Recep Tayyip Erdogan in Kazakhstan.,meter-true
1719,"The nature and tempo of the war have changed in recent weeks, as Ukraine’s forces score victories and Russia retaliates as Putin is backed into a corner. ",meter-true
1720,Information about dissent in Vladimir Putin's inner circle was deemed significant enough that it was included in President Biden’s daily intelligence briefing.,meter-true
1721,"The Russian president seems to have a tight grip on power but as military setbacks pile up, there is new speculation about who might want the Kremlin's top job",meter-true
1722,A billionaire’s half-baked tweet shows the insidious influence of Russian propaganda.,meter-true
1723,Marina Ovsyannikova made international headlines after protesting the war in Ukraine live on state television in March. ,meter-true
1724,"Russian President Vladimir Putin announced the illegal annexation of the Donetsk, Luhansk, Kherson and Zaporizhzhia regions at a ceremony in Moscow. ",meter-true
1725,And one way the staged procedures don’t change anything.,meter-true
1726,"Vladimir Putin is working to destroy the old international order. Xi Jinping is looking to build a new one, with China at its center. ",meter-true
1727,"Moscow may look normal after six months of war, but the fissures run deeper.",meter-true
1728,Inside a Moscow-affiliated church located at the center of American democracy.,meter-true
1729,"Russia’s Defense Ministry is preparing to buy “millions of rockets and artillery shells” from North Korea as it runs low on weapons in Ukraine, U.S. intelligence says. ",meter-true
1730,Poland loves coal. But Russia's invasion of Ukraine is pushing Polish citizens to embrace green measures because the shift will free them from Russian fossil fuels.,meter-true
1731,"“My nervous system is calming down,” said a Ukrainian soldier who lost a leg to shrapnel. “I no longer have nightmares.”",meter-true
1732,The Black Sea peninsula has returned to the spotlight with Russia's invasion of Ukraine and recent blasts at an ammunition depot and air base there.,meter-true
1733,"A Washington Post examination of the road to war in Ukraine, and Western efforts to unite to thwart the Kremlin’s plans, draws on extensive interviews with more than three dozen senior U.S., Ukrainian, European and NATO officials.",meter-true
1734,The country's military is seeking to regain territory along the Black Sea coast.,meter-true
1735,Russia’s occupation of eastern Ukraine has given it control over some of the most mineral-rich lands in Europe. ,meter-true
1736,"Ukraine officials stopped short of claiming credit for the attacks on a base in Russian-controlled territory, which would mark a dramatic escalation in the war.",meter-true
1737,"French President Emmanuel Macron visited Cameroon this week, calling the entire continent out for “hypocrisy."" The leader’s remarks showed a sharp contrast with those of another current visitor to the continent: Russian Foreign Minister Sergey Lavrov. ",meter-true
1738,"That puts civilians at risk, research shows",meter-true
1739,"Daria Kasatkina, Russia’s highest-ranked women's tennis player, took a stand on LGBTQ rights and the war in Ukraine in an interview.",meter-true
1740,The ultimate outcome of this bloody conflict remains uncertain.,meter-true
1741,The victims struggle to cope with stigma and shame. ,meter-true
1742,The Pentagon announced a new shipment of four multiple-launch rocket systems to Ukraine as part of a $400 million package that also included additional ammunition and other supplies.,meter-true
1743,Officials in previous conflicts often eluded concerns whether success was sustainable.,meter-true
1744,"Caught in a price squeeze for both oil and fish, thousands of ""chippy"" shops could go out of business this year in Britain. ",meter-true
1745,"More than 7 million Somalis face acute food insecurity, with almost 250,000 at risk of imminent starvation. ",meter-true
1746,"“If Putin was a woman … I really don’t think he would’ve embarked on a crazy, macho war of invasion,” the British prime minister told German broadcaster ZDF.",meter-true
1747,"Biden, in Germany for the G-7 summit, said gold is “a major export that rakes in tens of billions of dollars for Russia.”",meter-true
1748,"Lithuania is enforcing sanctions on goods shipped to Kaliningrad, which is surrounded by NATO members and physically separated from the rest of Russia. ",meter-true
1749,U.S. aid to Ukraine is good — but not good enough. ,meter-true
1750,"As of today, more than 100 million people have been forced to flee their homes — more than 1 percent of humanity.",meter-true
1751,The war transformed Ukraine from a breadbasket into a free-fire zone — with tragic global consequences. ,meter-true
1752,"A poll of Europeans from 10 countries suggests public attention may turn to fears about the war's wider impact, including the rising cost of living.",meter-true
1753,"The countries said the deal to settle their 50-year dispute over Hans Island, an uninhabited outcropping in the Arctic, shows how conflicting claims can be resolved peacefully.",meter-true
1754,"While the Ukraine war and the pandemic might fade with time, experts say, climate change has become a persistent threat to food security, making it more difficult to respond to unforeseen shocks.",meter-true
1755,"Short of staff, supplies and water, and facing impending Russian attack, these doctors refuse to flee.",meter-true
1756,"The Russian czar's embrace of Europe, however, is in stark contrast with President Vladimir Putin's isolation from the West. ",meter-true
1757,The dilemma is that non-Russian troops are dying to suppress a Ukraine that Putin claims is part of Mother Russia. ,meter-true
1758,"Estonia, Latvia and Slovakia join a multinational effort to investigate war crimes during Russia’s invasion of Ukraine.",meter-true
1759,Americans and other foreign fighters who’ve taken up arms against Russia describe glaring disparities between what they expected and what they’ve experienced. ,meter-true
1760,"For Davos regulars, more accustomed to talking about global interconnectedness than geopolitical ruptures, it’s a strange new world. ",meter-true
1761,Those who provide history and context around the conflict should not be silenced or smeared.,meter-true
1762,Sweden and Finland’s accession into NATO was supposed to be straightforward. But then Turkey entered the stage.,meter-true
1763,This week's Free for All letters.,meter-true
1764,The Biden administration aims to show that its heavy involvement in the Ukraine war is not a distraction from its priorities to the East. ,meter-true
1765,"U.N. human rights commissioner Michelle Bachelet called the scale of civilian killings areas around the Ukrainian capital formerly occupied by Russian troops ""shocking.""",meter-true
1766,"The pandemic didn't go away, but global attention may be elsewhere.",meter-true
1767," The vast majority of Ukrainian refugees are women and children, the two groups most vulnerable to falling victim to labor and sexual abuse",meter-true
1768,Experts anticipated a Moscow-led cyber assault; instead unprecedented attacks by hacktivists and criminals have wreaked havoc in Russia ,meter-true
1769,"""When I see those destroyed buildings, I must say what I feel. I imagined my family in one of those houses that is now destroyed and black,” said the secretary general in Borodyanka, Ukraine.",meter-true
1770,"Muslims join the war effort as fighters or volunteers: ""We’re the minority here, but we’re a part of this country. We must do something.""",meter-true
1771,"The country is often seen as a quirk of geography and history, though it also became more worryingly known as a murky hub for organized crime and people smuggling.",meter-true
1772,"Military expenditures increased worldwide in 2021, according to the Stockholm International Peace Institute, surpassing $2 trillion for the first time. ",meter-true
1773,Greenpeace protesters want the Norwegian government to impose an embargo on Russian oil imports in response to the war in Ukraine.,meter-true
1774,"New York is home to the largest number of Ukrainian and Russian immigrants in the United States. ""Since the war began, we live in two time zones.""",meter-true
1775,"An adviser to Ukraine's president accused Russia of a surge in airstrikes on Mariupol's Azovstal Iron and Steel Works and alleged that invasion forces are preparing to storm the site, where remaining defenders and many civilians are holed up.",meter-true
1776,"A Mariupol resident has created a website to track the missing and dead, providing a window into the grim toll of Russia's war in Ukraine.",meter-true
1777,U.N. Development Program warns of massive shocks from the conflict,meter-true
1778,U.S. commanders think the next two to four weeks could be decisive.,meter-true
1779,"With no sign of an early end to the war in Ukraine, the risk is growing that the conflict will tip a fragile global economy into recession.",meter-true
1780,Marina Ovsyannikova has joined Germany's Die Welt a month after she interrupted a live Russian state TV broadcast to protest the war in Ukraine.,meter-true
1781,Here’s what our survey of Middle East scholars found.,meter-true
1782,"Ukraine's president has called for global protests in solidarity with his country, and demonstrators have taken to the streets in many nations to protest the Russian invasion.",meter-true
1783,"The 41-year-old mother's mental health had deteriorated after her native Russia invaded Ukraine, her husband told police.",meter-true
1784,"The open-ended war in Ukraine has thrown the Pentagon’s long-term planning into question, with senior U.S. defense officials expected to revamp how they deploy military forces in Eastern Europe and the Baltics amid deepening anxiety over Russia’s broader ambitions.",meter-true
1785,"The war in Ukraine looms large, but it hasn’t fundamentally shifted the election’s key currents.",meter-true
1786,"Russian troops left a Danish island after World War II, offering a blueprint for getting them out of Ukraine.",meter-true
1787,"Sieges, bombardments of civilian areas, disinformation: These are the tactics Russia is recycling in Ukraine from its intervention in Syria.",meter-true
1788,"The E.U. is expected to pressure China over its support for Russia, while Beijing is said to be dismayed with the bloc's backing of the U.S. position on the war in Ukraine.",meter-true
1789,"Thousands of IT professionals are fleeing the country, creating a brain drain that may never be reversed.",meter-true
1790,The Russian president has given no signs of wavering despite mounting military losses.,meter-true
1791,"NATO estimates that up to 40,000 Russian troops have been killed, wounded or taken prisoner so far in Ukraine, a senior alliance official said.",meter-true
1792,"“A month ago, I was busy wearing a suit and tie,” says a Ukrainian lawyer turned soldier. “Now I command 140 people.”",meter-true
1793,"Though the U.S. has warned China against aiding Russia in its war, Xi Jinping has made a long-term bet on military cooperation with Russia.",meter-true
1794,"For Gen Xers who grew up with songs like Frankie Goes to Hollywood’s “Two Tribes” and movies like “The Day After,” 1980s Cold War pop culture is feeling uncomfortably timely again.",meter-true
1795,Conservative lawmakers are now fast-tracking legislation that would allow large-scale mining in the pristine territory.,meter-true
1796,"India, the world’s biggest oil importer behind China and the United States, has agreed to purchase 3 million barrels of Russian oil at a heavy discount, an Indian official said.",meter-true
1797,This collection of audio stories covers topics such as America's broken health-care system and parenting.,meter-true
1798,The food price surge will also complicate global efforts to fend off hunger in conflict-ridden and fragile states.,meter-true
1799,"As the war heats up, dozens of distant countries are set to feel the burn.",meter-true
1800,They've got some explaining to do.,meter-true
1801,"Recent anti-Russian sentiment in the U.S. shows the frustration many Americans feel toward the war in Ukraine, as well as a lack of understanding about the conflict, one expert said.",meter-true
1802,Here’s what you need to know about SWIFT and the debate about whether to pressure the network to exclude Russian financial institutions.,meter-true
1803,The sharp uptick in firing from the separatists’ side over the past three days has shaken even the war-weary.,meter-true
1804,It was the first effort in three years to wind back Europe’s most significant military conflict.,meter-true
1805,"Hackers leaked the names, telephone numbers, e-mail addresses, affiliations, and travel dates of journalists,  human rights activists onto vigilante websites that have been used to unmask opposing fighters in southeast Ukraine's two year-old war.",meter-true
1806,hursday’s commemoration was an eerie throwback to the Soviet era.,meter-true
1807,"In early 1917, protests dislodged a brutal and corrupt system, but it ended badly",meter-true
1808,"Before the Ukraine war, Volodymyr Zelenskyy travelled to western European capitals as a junior partner from one of many poorer eastern countries",meter-true
1809,Ukraine’s wartime leader Volodymyr Zelenskyy has now been bestowed with France’s highest medal of honor,meter-true
1810,Chevron and ExxonMobil posted record profits as the Ukraine war and sanctions on Russia left the global energy supply out of balance.,meter-true
1811,The Bulletin of the Atomic Scientists set the symbolic Doomsday Clock for the first time since the Ukraine war revived fears of nuclear disaster.,meter-true
1812,"Andrey Medvedev left the mercenary Wagner Group after witnessing its killing of the group's deserters during the Ukraine war, according to a Russian human rights group.",meter-true
1813,"Russian President Vladimir Putin spoke with Chinese President Xi Jinping, seeking to strengthen ties as the Ukraine war deepens his international isolation.",meter-true
1814,"Sébastien Lecornu's visit, which includes a working meeting to discuss future French support for Ukraine's war effort, marks his first trip since the invasion began.",meter-true
1815,"The country's defense industry, long driven by persistent threats from the North, sees new opportunities to sell globally because of the Ukraine war. ",meter-true
1816,"The Russia-Ukraine war, the Musk-Twitter saga and Roe v. Wade dominated debates.",meter-true
1817,We must act now to shape the post-Ukraine war world.,meter-true
1818,"What's it like to be a 21st-century czar? There are turkeys, fertilizer and a lot of bluster about the Ukraine war.",meter-true
1819,Poland is a member of NATO. A strike on the country could thus mark a pivotal moment in the Russia-Ukraine war — depending on what actually happened.,meter-true
1820,"The U.K.-based Collins's Dictionary names ""permacrisis,” an extended period of instability, as its word of the year amid the Ukraine war and rising inflation.",meter-true
1821,"Diplomacy can’t stop the Ukraine war, alas. But it can avert a nuclear catastrophe.",meter-true
1822,In today's edition …  Why Democrats are increasingly nervous about California … The Fetterman-Oz debate … Beth Reinhard and Colby Itkowitz dig into Fetterman's time as mayor … In the States: Tobi looks at ballot initiatives on voting … What we're watching: Fall out from the CPC's Ukraine war letter.,meter-true
1823,"Javaid comes to General Assignment from the New York Times, where she spent part of 2022 covering the Ukraine war and other news for the Live Desk.",meter-true
1824,The Marshall Plan gave economic aid to Europe and forged an alliance against the USSR 75 years ago. The Russia-Ukraine war is testing its legacy.,meter-true
1825,A Russian gamble should not force the United States to directly engage in the Ukraine war. ,meter-true
1826,The European Union is shoring up its resources as temperatures drop and energy supplies remain tight because of the Ukraine war.,meter-true
1827,Russia’s failure to broker peace between Armenia and Azerbaijan underscores how the Ukraine war has hindered Moscow’s power along its borders. ,meter-true
1828,The survey data suggests that young married men may start opposing the Ukraine war,meter-true
1829,"The Ukraine war is not over by any means, but the counteroffensive in Kharkiv has exposed anew President Vladimir Putin’s catastrophic miscalculations.",meter-true
1830,"The car explosion that killed Daria Dugina, the daughter of Vladimir Putin ally Alexander Dugin, is becoming a flash point in the Russia-Ukraine war. ",meter-true
1831,"Consumers around the world are experiencing shortages of their favorite foods due to the Ukraine war, cost of living crisis, inflation and coronavirus pandemic. ",meter-true
1832,"Five months into the Ukraine war, new research backs up Ukrainian officials' concerns that Russian propaganda continues to spread via social media.",meter-true
1833,The unwillingness to punish President Vladimir Putin for a killing in Berlin ordered by Moscow added to the Kremlin’s sense of impunity before the Ukraine war.,meter-true
1834,"BP’s blockbuster second-quarter 2022 results were driven by higher fuel prices, the Ukraine war and a surge in global demand.",meter-true
1835,"The new president, Ranil Wickremesinghe, must now confront upheaval unleashed by the pandemic and Ukraine war.",meter-true
1836,Russian President Vladimir Putin has been portrayed as more eccentric and irrational in the lead-up to the Ukraine war and in the following months.,meter-true
1837,The Ukraine war shows the importance of expanding the alliance.,meter-true
1838,Concerns are growing that inflation will erode support for the Ukraine war among Western allies and entrench Russian gains.,meter-true
1839,"Speaking at the World Economic Forum in Davos, Switzerland, Kissinger urged the West to not seek an embarrassing defeat for Russia in Ukraine, warning it could worsen Europe’s long-term stability.",meter-true
1840,Users of smart televisions and some digital platforms in Russia reported seeing an anti-Ukraine-war message on their screens.,meter-true
1841,The CIA published instructions for how Russians disaffected by the Ukraine war can covertly volunteer information using an encrypted conduit to the agency’s website. ,meter-true
1842,Western resolve is hardening in the Ukraine war. ,meter-true
1843,"The Russian military isn’t ""woke."" The Ukraine war is showing why that’s a weakness, not a strength.

",meter-true
1844,Mixed signals from Zelensky leave West confused about possible settlement to end Russia-Ukraine war,meter-true
1845,The Ukraine war’s creepiest byproduct is its demonstration of the utility of nuclear weapons. Russia’s invasion shows that a nuclear power can engage in vicious regional aggression without paying the most severe price.,meter-true
1846,"In his response, Biden’s tone was that of a leader who understands that Ukraine’s war is necessary, just — and likely to go on.",meter-true
