,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
1167,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",2017,May,16,tom_ruling_pof,1167.0
1168,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",2017,May,21,tom_ruling_pof,1168.0
1169,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",2017,May,18,meter-mostly-false,1169.0
1170,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",2017,May,17,meter-mostly-false,1170.0
1171,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",2017,May,12,meter-mostly-true,1171.0
1172,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",2017,May,15,meter-mostly-true,1172.0
1173,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",2017,May,12,meter-mostly-false,1173.0
1174,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""",2017,May,11,tom_ruling_pof,1174.0
1175,"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",2017,April,27,meter-false,1175.0
1176,"""General Flynn got his clearance from the Obama administration.""",2017,April,30,meter-true,1176.0
1177,"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""",2017,April,24,tom_ruling_pof,1177.0
1178,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",2017,April,13,meter-mostly-true,1178.0
1179,"With North Korea, ""nobody has ever seen such a positive response on our behalf from China.""",2017,April,17,meter-half-true,1179.0
1180,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""",2017,April,5,meter-mostly-true,1180.0
1181,"The Keystone XL pipeline ""doesn’t even have any oil for America.""",2017,March,27,meter-mostly-false,1181.0
1182,"The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",2017,April,9,meter-false,1182.0
1183,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",2017,April,11,tom_ruling_pof,1183.0
1184,"""There is no legal basis"" for Donald Trump's ""missile strike against Syrian military assets.""",2017,April,7,meter-false,1184.0
1185,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",2017,April,4,meter-true,1185.0
1186,"""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""",2017,March,20,meter-half-true,1186.0
1187,"""The NSA and FBI tell Congress that Russia did not influence electoral process.""",2017,March,20,meter-false,1187.0
1188,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",2017,March,15,meter-false,1188.0
1189,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",2017,March,3,meter-mostly-true,1189.0
1190,"""Everybody acts like President Trump is the one that came up with this idea. ... There are multiple news outlets that have reported"" former President Barack Obama ordered wiretapping on Trump.",2017,March,5,meter-false,1190.0
1191,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false,1191.0
1192,"""The sanctions that we put on (Russia) for the Crimea annexation and meddling in Ukraine ... have absolutely crushed the ruble by 50 percent. And GDP from 2014 to 2016 is 50 percent down in Russia, as well.""",2017,February,19,meter-half-true,1192.0
1193,"Says Sen. John McCain was ""caught making highly illegal phone call to foreign country.""",2017,February,3,meter-false,1193.0
1194,"""While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!""",2017,February,12,meter-false,1194.0
1195,"""Tanzania farmers face 12 years in prison for trading seeds thanks to foreign aid.""",2017,January,9,meter-mostly-true,1195.0
1196,"Says ExxonMobil ""fought to kill"" a rule requiring oil and mining companies to disclose payments made to foreign governments.",2017,February,2,meter-true,1196.0
1197,"""Thirty years ago we were the most college-educated country on the globe. Today we are No. 11.""",2017,January,17,meter-half-true,1197.0
1198,"Says Rex ""Tillerson won't divest from Exxon.""",2017,January,27,tom_ruling_pof,1198.0
1199,"""The media ... sort of made it sound like I had a feud with the intelligence community.""",2017,January,21,meter-false,1199.0
1200,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.""",2017,January,20,meter-mostly-true,1200.0
1201,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",2017,January,11,meter-mostly-false,1201.0
1202,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",2017,January,11,meter-mostly-true,1202.0
1203,"Americans don't ""care at all"" about Donald Trump's tax returns.",2017,January,11,meter-false,1203.0
1204,"Says Hillary Clinton campaign chairman John Podesta’s email password was ""password.""",2017,January,8,meter-false,1204.0
1205,"Activities by foreign governments had ""absolutely no effect on the outcome of this election.""",2017,January,6,meter-mostly-false,1205.0
1206,"""Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.""",2016,December,16,tom_ruling_pof,1206.0
1207,"""Democrats Filing TREASON Charges Against Trump, McConnell, Giuliani, & Comey.""",2016,December,11,meter-false,1207.0
1208,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",2016,December,15,tom_ruling_pof,1208.0
1209,"""We had a massive landslide victory, as you know, in the Electoral College.""",2016,December,11,meter-false,1209.0
1210,"""There's been no conclusive or specific report to say"" Russia was trying to muddy the election.",2016,December,11,meter-false,1210.0
1211,"""Wisconsin uses voting machines that are outlawed, they are illegal.""",2016,November,26,tom_ruling_pof,1211.0
1212,"""The @nytimes states today that DJT believes ‘more countries should acquire nuclear weapons.’ How dishonest are they. I never said this!""",2016,November,13,meter-false,1212.0
1213,"Says ""thousands"" at a Manhattan rally for Donald Trump were chanting ""We hate Muslims, we hate blacks, we want our great country back.""",2016,November,8,tom_ruling_pof,1213.0
1214,"Says Donald Trump ""was asked if he would defend our allies. He said well, first he'd want to know if they made any payments to us to defend them.""",2016,October,25,meter-true,1214.0
1215,"""ISIS is in 32 countries.""",2016,October,19,meter-half-true,1215.0
1216,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",2016,October,19,meter-half-true,1216.0
1217,"""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.""",2016,October,19,meter-true,1217.0
1218,"""Many of (Hillary Clinton's) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.""",2016,October,9,meter-mostly-false,1218.0
1219,"""We don't have any"" chess grandmasters in the United States.",2016,October,10,tom_ruling_pof,1219.0
1220,"Donald Trump has said ""nuclear proliferation is OK.""",2016,October,4,meter-half-true,1220.0
1221,"""I was gone"" when there was a red line against Syria.",2016,October,9,meter-mostly-false,1221.0
1222,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true,1222.0
1223,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",2016,October,4,meter-mostly-false,1223.0
1224,"""Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.""",2016,October,4,meter-mostly-true,1224.0
1225,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",2016,September,28,meter-mostly-false,1225.0
1226,"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",2016,September,26,meter-half-true,1226.0
1227,"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",2016,September,19,meter-mostly-true,1227.0
1228,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true,1228.0
1229,"""If Texas were a country our economy would rank # 10...in the WORLD.""",2016,August,30,meter-mostly-true,1229.0
1230,"""If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.""",2016,September,8,meter-false,1230.0
1231,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""",2016,September,11,meter-mostly-false,1231.0
1232,"Says Russian President Vladimir Putin ""calls me brilliant.""",2016,September,7,meter-mostly-false,1232.0
1233,"""Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria.""",2016,August,21,meter-mostly-true,1233.0
1234,Says the media distorted what happened with a baby at his rally.,2016,August,7,meter-true,1234.0
1235,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",2016,July,27,meter-mostly-false,1235.0
1236,"Says Barack Obama and Hillary Clinton are ""responsible for leading America into a deal that will arm Iran.""",2016,August,3,meter-half-true,1236.0
1237,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true,1237.0
1238,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",2016,July,27,meter-mostly-true,1238.0
1239,"""The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of state's office than when she took it.""",2016,July,26,meter-half-true,1239.0
1240,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",2016,July,26,meter-mostly-true,1240.0
1241,"Harris County, Texas has ""some of the highest jailing and incarceration rates in the U.S. and the world.""",2016,May,19,meter-mostly-true,1241.0
1242,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true,1242.0
1243,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",2016,June,28,tom_ruling_pof,1243.0
1244,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",2016,June,22,meter-mostly-false,1244.0
1245,"Says Donald Trump has said he loves war, ""including with nukes.""",2016,June,19,meter-half-true,1245.0
1246,"""The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.""",2016,June,15,tom_ruling_pof,1246.0
1247,"Says Donald Trump ""says he has foreign policy experience because he ran the Miss Universe pageant in Russia.""",2016,June,2,meter-half-true,1247.0
1248,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",2016,April,22,meter-mostly-false,1248.0
1249,"""We spend about 75 percent of the entire cost of the military aspect of NATO.""",2016,April,14,meter-half-true,1249.0
1250,"Says Hillary Clinton supported and continues to ""support fracking.""",2016,April,10,meter-mostly-true,1250.0
1251,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true,1251.0
1252,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",2016,March,21,meter-false,1252.0
1253,Says there are no political prisoners in Cuba.,2016,March,21,meter-false,1253.0
1254,"Says Mahatma Gandhi once said, ""First they ignore you, then they laugh at you, then they fight you, then you win.""",2016,February,28,meter-false,1254.0
1255,"""Bioweapon! Zika virus is being spread by GMO mosquitos (sic)""",2016,January,27,tom_ruling_pof,1255.0
1256,"China is ""practicing how to blow up our satellites.""",2016,February,4,meter-true,1256.0
1257,"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",2016,January,27,meter-mostly-true,1257.0
1258,"""The United States of America, right now, has the strongest, most durable economy in the world.""",2016,January,12,meter-mostly-true,1258.0
1259,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",2016,January,13,tom_ruling_pof,1259.0
1260,"""We spend more on our military than the next eight nations combined.""",2016,January,12,meter-mostly-true,1260.0
1261,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false,1261.0
1262,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",2015,December,20,meter-true,1262.0
1263,"""Two months ago, Donald Trump said that ISIS was not our fight.""",2015,December,15,meter-mostly-true,1263.0
1264,"""Three or four countries"" out of roughly 60 in the anti-ISIS coalition ""are providing military force.""",2015,December,13,meter-mostly-true,1264.0
1265,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",2015,December,2,meter-mostly-true,1265.0
1266,"For NATO exercises, ""we don’t have enough of our own hardware and equipment even for training purposes. So the Brits are spotting us choppers.""",2015,November,18,meter-mostly-true,1266.0
1267,"""I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.""",2015,November,6,meter-mostly-true,1267.0
1268,"""8 Syrians caught at Texas border in Laredo.""",2015,November,18,meter-mostly-false,1268.0
1269,"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.""",2015,November,14,meter-half-true,1269.0
1270,"""The Chinese are there"" in Syria.",2015,November,10,meter-false,1270.0
1271,"""The federal government owns about half of the West, yet it continues to acquire more land.""",2015,October,21,meter-mostly-true,1271.0
1272,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""",2015,October,13,meter-mostly-false,1272.0
1273,"""Today in America, we have more people in jail than any other country on Earth.""",2015,October,13,meter-mostly-true,1273.0
1274,"When ICE releases illegal immigrants, ""a lot of those people are not from Honduras and Mexico. They’re from Iraq and Somalia and Russia.""",2015,September,25,meter-mostly-false,1274.0
1275,"The Obama administration’s ""own Environmental Protection Agency"" has said its Clean Power Plan ""will have a marginal impact on climate change.""",2015,September,16,meter-half-true,1275.0
1276,"""We had a three-hour debate, no discussion about the national debt, very little about the economy.""",2015,September,20,meter-mostly-true,1276.0
1277,"The Iran deal ""trusts the Iranians to inspect themselves.""",2015,September,1,meter-false,1277.0
1278,"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""",2015,September,9,meter-false,1278.0
1279,"Under the Iran deal: ""If Israel attacks Iran … we’re supposed to be on Iran’s side.""",2015,September,3,meter-false,1279.0
1280,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",2015,September,2,meter-false,1280.0
1281,"""Saudi Arabia has the third-largest military budget in the entire world.""",2015,August,30,meter-true,1281.0
1282,"""We have an Army that just cut 40,000 spots.""",2015,August,18,meter-mostly-true,1282.0
1283,"""The United States has the highest incarceration rate in the world.""",2015,August,5,meter-mostly-true,1283.0
1284,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",2015,August,6,meter-false,1284.0
1285,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true,1285.0
1286,"The Iran deal says that ""if any other country tries to undermine (Iran's) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies.""",2015,July,22,meter-false,1286.0
1287,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""",2015,July,14,meter-mostly-false,1287.0
1288,"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.""",2015,July,14,meter-half-true,1288.0
1289,"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",2015,June,12,meter-mostly-true,1289.0
1290,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States.""",2015,June,24,meter-half-true,1290.0
1291,"""We are the only major country on Earth that doesn't guarantee health care to all people as a right.""",2015,June,28,meter-half-true,1291.0
1292,"""Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.""",2015,June,16,meter-false,1292.0
1293,"Says Bill Clinton ""gave a speech in 1996 about Iraq having WMDs"" and said ""we needed a regime change,"" even though everyone blamed those things on George W. Bush.",2015,June,15,meter-mostly-false,1293.0
1294,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",2015,May,7,meter-mostly-false,1294.0
1295,"""Most polls show foreign nations have lower regard for the U.S. now than they did before Obama’s time.""",2015,June,2,meter-false,1295.0
1296,"Today, ""the United States is the most respected country on Earth.""",2015,June,1,meter-half-true,1296.0
1297,"The United States ""is not modernizing its nuclear weapons.""",2015,April,25,meter-false,1297.0
1298,"The United States ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",2015,April,25,meter-false,1298.0
1299,"""The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""",2015,April,13,meter-true,1299.0
1300,"""Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state.""",2015,April,26,meter-true,1300.0
1301,The Castro regime ‘violated international norms’ by secretly shipping weapons to North Korea in violation of a U.N. embargo.,2015,April,15,meter-mostly-true,1301.0
1302,"""You can’t build a Christian church in Saudi Arabia.""",2015,April,8,meter-true,1302.0
1303,"""Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.""",2015,April,5,meter-mostly-true,1303.0
1304,"""A few weeks ago Obama took Hamas and Iran OFF the terror list.""",2015,March,19,meter-false,1304.0
1305,"Says that ""Susan Rice, the president's national security adviser, has already conceded that Iran will have a robust uranium enrichment capability.""",2015,March,9,meter-mostly-false,1305.0
1306,"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""",2015,March,11,meter-mostly-false,1306.0
1307,"""The vast majority of our international commitments take effect without congressional approval.""",2015,March,9,meter-half-true,1307.0
1308,"If President Barack Obama strikes a nuclear deal with Iran, ""the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time.""",2015,March,9,meter-mostly-true,1308.0
1309,"""America produces more oil and gas than any other nation in the world.""",2015,February,24,meter-true,1309.0
1310,The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.,2015,February,18,meter-true,1310.0
1311,"""We live in the most incarcerated country in the world.""",2015,February,22,meter-mostly-true,1311.0
1312,"""Documents released from the Soviet Union"" show ""the Soviet Union started treating"" President Ronald Reagan more seriously after Reagan fired the air traffic controllers.",2015,January,21,tom_ruling_pof,1312.0
1313,"""America is No. 1 one in oil and gas.""",2015,January,20,meter-true,1313.0
1314,"""Since 2010, America has put more people back to work than Europe, Japan, and all advanced economies combined.""",2015,January,20,meter-half-true,1314.0
1315,"Only 42 percent of young Georgians have a college certificate or degree, but soon 60 percent of jobs will require some college credential.",2014,December,16,meter-true,1315.0
1316,"""We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia.""",2015,January,4,meter-true,1316.0
1317,"""We've caught Iran cheating on the interim (nuclear) deal.""",2014,December,28,meter-mostly-false,1317.0
1318,"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.""",2014,December,21,meter-mostly-true,1318.0
1319,"""Congress is a very special group of people. More than 80 percent of them never left the United States.""",2014,December,16,tom_ruling_pof,1319.0
1320,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",2014,December,10,meter-mostly-false,1320.0
1321,"""We are younger than our competitors, and this is entirely because of immigration.""",2014,December,3,meter-mostly-true,1321.0
1322,"""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.""",2014,December,5,meter-mostly-true,1322.0
1323,"""Over the last few years, we’ve put more people back to work than all the other advanced economies combined.""",2014,November,16,meter-half-true,1323.0
1324,"""We've created more jobs in the United States than every other advanced economy combined since I came into office.""",2014,November,9,meter-half-true,1324.0
1325,"""In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.""",2014,October,28,meter-false,1325.0
1326,"""We've had 27 (Ebola) outbreaks around the globe and they've never spread outside of the confines of the countries that were initially affected.""",2014,October,20,meter-mostly-true,1326.0
1327,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.""",2014,September,14,meter-true,1327.0
1328,"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""",2014,September,2,meter-true,1328.0
1329,"The United States had ""allies lined up"" for air strikes in Syria and then Obama ""pulled the rug out.""",2014,August,31,meter-half-true,1329.0
1330,"""Russia has more diversity in its governmental representation than we do in Texas.""",2014,August,22,meter-mostly-false,1330.0
1331,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.",2014,July,23,meter-half-true,1331.0
1332,"""I'm not a conspiracy theorist and I never allow conspiracy theorists on my program.""",2014,July,23,tom_ruling_pof,1332.0
1333,"The United States is the leading nation in the world ""with the highest amount of doubt about the conventional wisdom of climate change.""",2014,July,22,meter-mostly-true,1333.0
1334,"Russia ""has an economy the size of Italy.""",2014,July,27,meter-mostly-true,1334.0
1335,"There are fewer wars, there are fewer people dying in wars ""now than there have been in quite some time.""",2014,July,15,meter-mostly-true,1335.0
1336,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",2014,July,17,meter-mostly-false,1336.0
1337,"""The so-called defense minister of the People's Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.""",2014,July,20,meter-mostly-true,1337.0
1338,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.""",2014,June,11,meter-mostly-true,1338.0
1339,"FIFA ""pressured Brazil into passing a so-called Budweiser bill, allowing beer sales in soccer stadiums.""",2014,June,8,meter-true,1339.0
1340,"Says Hillary Clinton ""laid the groundwork"" for getting chemical weapons out of Syria.",2014,June,1,meter-mostly-false,1340.0
1341,"Says Hillary Clinton ""defended Syria’s President Assad as a possible reformer at the start of that country’s civil war.""",2014,June,1,meter-half-true,1341.0
1342,Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,2014,May,30,tom_ruling_pof,1342.0
1343,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true,1343.0
1344,"""At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic.""",2014,May,18,meter-mostly-false,1344.0
1345,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",2014,April,17,meter-false,1345.0
1346,"""The U.S. spends more money on its military than the 16 biggest military budgets in the world"" combined.",2014,April,16,meter-half-true,1346.0
1347,"""22 Countries Invaded by the U.S. in 20 Years.""",2014,March,28,meter-false,1347.0
1348,"""Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.""",2014,March,30,meter-mostly-true,1348.0
1349,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true,1349.0
1350,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false,1350.0
1351,"Russian annexation of Crimea ""removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.""",2014,March,16,meter-mostly-true,1351.0
1352,"President Barack Obama shut down NASA space flights and turned the agency ""into a Muslim outreach department.""",2014,March,6,meter-false,1352.0
1353,"""The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.""",2014,March,9,meter-mostly-true,1353.0
1354,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off.""",2014,March,9,meter-mostly-false,1354.0
1355,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century.""",2014,March,3,meter-mostly-true,1355.0
1356,"The new Ukrainian government ""introduced a law abolishing the use of languages other than Ukrainian in official circumstances.""",2014,March,4,meter-half-true,1356.0
1357,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true,1357.0
1358,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",2014,March,3,meter-mostly-true,1358.0
1359,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",2014,March,2,meter-true,1359.0
1360,"""The (Russian) ruble is already going down.""",2014,March,2,meter-mostly-true,1360.0
1361,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",2014,March,2,meter-true,1361.0
1362,A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,2014,February,19,tom_ruling_pof,1362.0
1363,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",2014,January,16,meter-true,1363.0
1364,"""It’s been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the Olympics.""",2014,February,9,meter-true,1364.0
1365,"""Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth.""",2014,January,28,meter-half-true,1365.0
1366,"""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody.""",2014,January,18,meter-mostly-true,1366.0
1367,"""In some of the states in the U.S., homosexuality remains a felony.""",2014,January,19,meter-false,1367.0
1368,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true,1368.0
1369,"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",2014,January,2,meter-mostly-true,1369.0
1370,"Republican state lawmakers ""are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.""",2013,December,12,meter-mostly-true,1370.0
1371,"Iran President Hassan ""Rouhani has more Cabinet members with Ph.D.s from American universities"" than members of Barack Obama’s Cabinet.",2013,December,9,meter-true,1371.0
1372,"The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",2013,September,10,meter-mostly-true,1372.0
1373,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false,1373.0
1374,"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War.",2013,September,4,meter-mostly-false,1374.0
1375,"""Do you know those former Soviet Bloc countries have all moved to flat taxes?""",2013,April,16,meter-half-true,1375.0
1376,"Says ""right now, we have more military spending than the next 10, 11, 12 countries combined.""",2013,February,1,meter-true,1376.0
1377,"""The brutal fact is, when it comes to education, America is slipping"" behind other nations.",2013,January,9,meter-mostly-false,1377.0
1378,"Says Chuck Hagel has called for ""an end to our nuclear program.""",2013,January,21,meter-mostly-false,1378.0
1379,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",2013,January,15,meter-mostly-true,1379.0
1380,"""[W]e see America's prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!""",2013,January,1,meter-mostly-true,1380.0
1381,"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.""",2013,January,9,meter-true,1381.0
1382,Says the Obama administration plans to ban all weapons for U.S. citizens through international treaties.,2012,November,27,tom_ruling_pof,1382.0
1383,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",2012,October,22,meter-mostly-true,1383.0
1384,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true,1384.0
