Unnamed: 0,claim,year_of_publish,month_of_publish,day_of_publish,truth_value
1367,"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",2017,October,27,tom_ruling_pof
1368,"""Hillary Clinton leaves the country as Mueller indictment is announced.""",2017,October,28,tom_ruling_pof
1369,"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",2017,October,30,meter-mostly-false
1370,"North Korea is ""the fifth or fourth most sanctioned nation.""",2017,September,24,meter-mostly-true
1371,"""Susan Rice arrested for criminal ‘unmasking’ of Trump officials.""",2017,September,18,tom_ruling_pof
1372,"Says PolitiFact reported that ""95 percent of what (Donald Trump) says is a lie.""",2017,September,6,meter-false
1373,"Democrats ""setup"" and ""manipulated"" the political violence in Charlottesville",2017,September,14,tom_ruling_pof
1374,"""We're flying 1987 planes with 1987 technology.""",2017,July,20,meter-half-true
1375,"""Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.""",2017,August,9,meter-false
1376,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",2017,August,5,tom_ruling_pof
1377,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",2017,August,5,meter-mostly-true
1378,"""A witness will testify against Hillary Clinton.""",2017,July,30,meter-false
1379,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",2017,July,12,tom_ruling_pof
1380,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",2017,July,25,meter-mostly-false
1381,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",2017,July,22,meter-mostly-false
1382,Shepard Smith was fired from Fox News.,2017,July,16,tom_ruling_pof
1383,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",2017,July,12,meter-half-true
1384,"Says ""Donald Trump was doing a rally in the state of Florida"" the day Trump's son and others met with a Russian lawyer in New York.",2017,July,13,meter-false
1385,"""It's an absolute fact"" that China and North Korea ""have consistently over many, many years"" meddled in U.S. elections.",2017,July,9,meter-false
1386,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""",2017,June,30,tom_ruling_pof
1387,"""Collusion is not illegal.""",2017,July,11,meter-mostly-false
1388,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",2017,July,7,meter-false
1389,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",2017,July,6,meter-mostly-false
1390,"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""",2017,June,29,tom_ruling_pof
1391,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",2017,June,23,meter-mostly-false
1392,"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",2017,May,23,meter-mostly-false
1393,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true
1394,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",2017,June,13,meter-true
1395,"""It's a longstanding policy of the Department of Justice not to comment on conversations that the attorney general has had with the president of the United States.""",2017,June,13,meter-half-true
1396,"Says Iran has ""violated the terms of the (nuclear) deal.""",2017,June,8,meter-mostly-false
1397,Says former FBI Director James Comey admitted to leaking classified information.,2017,June,8,meter-false
1398,"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",2017,May,31,meter-mostly-false
1399,"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",2017,May,28,meter-false
1400,"""You can collude all you want with a foreign government in an election. There's no such statute"" (that makes collusion a crime).",2017,May,30,meter-false
1401,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",2017,May,16,tom_ruling_pof
1402,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",2017,May,21,tom_ruling_pof
1403,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",2017,May,18,meter-mostly-false
1404,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",2017,May,17,meter-mostly-false
1405,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",2017,May,12,meter-mostly-true
1406,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",2017,May,15,meter-mostly-true
1407,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",2017,May,12,meter-mostly-false
1408,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""",2017,May,11,tom_ruling_pof
1409,"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",2017,April,27,meter-false
1410,"""General Flynn got his clearance from the Obama administration.""",2017,April,30,meter-true
1411,"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""",2017,April,24,tom_ruling_pof
1412,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",2017,April,13,meter-mostly-true
1413,"With North Korea, ""nobody has ever seen such a positive response on our behalf from China.""",2017,April,17,meter-half-true
1414,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""",2017,April,5,meter-mostly-true
1415,"The Keystone XL pipeline ""doesn’t even have any oil for America.""",2017,March,27,meter-mostly-false
1416,"The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",2017,April,9,meter-false
1417,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",2017,April,11,tom_ruling_pof
1418,"""There is no legal basis"" for Donald Trump's ""missile strike against Syrian military assets.""",2017,April,7,meter-false
1419,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",2017,April,4,meter-true
1420,"""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""",2017,March,20,meter-half-true
1421,"""The NSA and FBI tell Congress that Russia did not influence electoral process.""",2017,March,20,meter-false
1422,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",2017,March,15,meter-false
1423,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",2017,March,3,meter-mostly-true
1424,"""Everybody acts like President Trump is the one that came up with this idea. ... There are multiple news outlets that have reported"" former President Barack Obama ordered wiretapping on Trump.",2017,March,5,meter-false
1425,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false
1426,"""The sanctions that we put on (Russia) for the Crimea annexation and meddling in Ukraine ... have absolutely crushed the ruble by 50 percent. And GDP from 2014 to 2016 is 50 percent down in Russia, as well.""",2017,February,19,meter-half-true
1427,"Says Sen. John McCain was ""caught making highly illegal phone call to foreign country.""",2017,February,3,meter-false
1428,"""While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!""",2017,February,12,meter-false
1429,"""Tanzania farmers face 12 years in prison for trading seeds thanks to foreign aid.""",2017,January,9,meter-mostly-true
1430,"Says ExxonMobil ""fought to kill"" a rule requiring oil and mining companies to disclose payments made to foreign governments.",2017,February,2,meter-true
1431,"""Thirty years ago we were the most college-educated country on the globe. Today we are No. 11.""",2017,January,17,meter-half-true
1432,"Says Rex ""Tillerson won't divest from Exxon.""",2017,January,27,tom_ruling_pof
1433,"""The media ... sort of made it sound like I had a feud with the intelligence community.""",2017,January,21,meter-false
1434,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.""",2017,January,20,meter-mostly-true
1435,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",2017,January,11,meter-mostly-false
1436,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",2017,January,11,meter-mostly-true
1437,"Americans don't ""care at all"" about Donald Trump's tax returns.",2017,January,11,meter-false
1438,"Says Hillary Clinton campaign chairman John Podesta’s email password was ""password.""",2017,January,8,meter-false
1439,"Activities by foreign governments had ""absolutely no effect on the outcome of this election.""",2017,January,6,meter-mostly-false
1440,"""Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.""",2016,December,16,tom_ruling_pof
1441,"""Democrats Filing TREASON Charges Against Trump, McConnell, Giuliani, & Comey.""",2016,December,11,meter-false
1442,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",2016,December,15,tom_ruling_pof
1443,"""We had a massive landslide victory, as you know, in the Electoral College.""",2016,December,11,meter-false
1444,"""There's been no conclusive or specific report to say"" Russia was trying to muddy the election.",2016,December,11,meter-false
1445,"""Wisconsin uses voting machines that are outlawed, they are illegal.""",2016,November,26,tom_ruling_pof
1446,"""The @nytimes states today that DJT believes ‘more countries should acquire nuclear weapons.’ How dishonest are they. I never said this!""",2016,November,13,meter-false
1447,"Says ""thousands"" at a Manhattan rally for Donald Trump were chanting ""We hate Muslims, we hate blacks, we want our great country back.""",2016,November,8,tom_ruling_pof
1448,"Says Donald Trump ""was asked if he would defend our allies. He said well, first he'd want to know if they made any payments to us to defend them.""",2016,October,25,meter-true
1449,"""ISIS is in 32 countries.""",2016,October,19,meter-half-true
1450,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",2016,October,19,meter-half-true
1451,"""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.""",2016,October,19,meter-true
1452,"""Many of (Hillary Clinton's) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.""",2016,October,9,meter-mostly-false
1453,"""We don't have any"" chess grandmasters in the United States.",2016,October,10,tom_ruling_pof
1454,"Donald Trump has said ""nuclear proliferation is OK.""",2016,October,4,meter-half-true
1455,"""I was gone"" when there was a red line against Syria.",2016,October,9,meter-mostly-false
1456,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true
1457,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",2016,October,4,meter-mostly-false
1458,"""Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.""",2016,October,4,meter-mostly-true
1459,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",2016,September,28,meter-mostly-false
1460,"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",2016,September,26,meter-half-true
1461,"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",2016,September,19,meter-mostly-true
1462,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true
1463,"""If Texas were a country our economy would rank # 10...in the WORLD.""",2016,August,30,meter-mostly-true
1464,"""If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.""",2016,September,8,meter-false
1465,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""",2016,September,11,meter-mostly-false
1466,"Says Russian President Vladimir Putin ""calls me brilliant.""",2016,September,7,meter-mostly-false
1467,"""Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria.""",2016,August,21,meter-mostly-true
1468,Says the media distorted what happened with a baby at his rally.,2016,August,7,meter-true
1469,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",2016,July,27,meter-mostly-false
1470,"Says Barack Obama and Hillary Clinton are ""responsible for leading America into a deal that will arm Iran.""",2016,August,3,meter-half-true
1471,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true
1472,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",2016,July,27,meter-mostly-true
1473,"""The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of state's office than when she took it.""",2016,July,26,meter-half-true
1474,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",2016,July,26,meter-mostly-true
1475,"Harris County, Texas has ""some of the highest jailing and incarceration rates in the U.S. and the world.""",2016,May,19,meter-mostly-true
1476,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true
1477,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",2016,June,28,tom_ruling_pof
1478,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",2016,June,22,meter-mostly-false
1479,"Says Donald Trump has said he loves war, ""including with nukes.""",2016,June,19,meter-half-true
1480,"""The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.""",2016,June,15,tom_ruling_pof
1481,"Says Donald Trump ""says he has foreign policy experience because he ran the Miss Universe pageant in Russia.""",2016,June,2,meter-half-true
1482,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",2016,April,22,meter-mostly-false
1483,"""We spend about 75 percent of the entire cost of the military aspect of NATO.""",2016,April,14,meter-half-true
1484,"Says Hillary Clinton supported and continues to ""support fracking.""",2016,April,10,meter-mostly-true
1485,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true
1486,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",2016,March,21,meter-false
1487,Says there are no political prisoners in Cuba.,2016,March,21,meter-false
1488,"Says Mahatma Gandhi once said, ""First they ignore you, then they laugh at you, then they fight you, then you win.""",2016,February,28,meter-false
1489,"""Bioweapon! Zika virus is being spread by GMO mosquitos (sic)""",2016,January,27,tom_ruling_pof
1490,"China is ""practicing how to blow up our satellites.""",2016,February,4,meter-true
1491,"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",2016,January,27,meter-mostly-true
1492,"""The United States of America, right now, has the strongest, most durable economy in the world.""",2016,January,12,meter-mostly-true
1493,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",2016,January,13,tom_ruling_pof
1494,"""We spend more on our military than the next eight nations combined.""",2016,January,12,meter-mostly-true
1495,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false
1496,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",2015,December,20,meter-true
1497,"""Two months ago, Donald Trump said that ISIS was not our fight.""",2015,December,15,meter-mostly-true
1498,"""Three or four countries"" out of roughly 60 in the anti-ISIS coalition ""are providing military force.""",2015,December,13,meter-mostly-true
1499,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",2015,December,2,meter-mostly-true
1500,"For NATO exercises, ""we don’t have enough of our own hardware and equipment even for training purposes. So the Brits are spotting us choppers.""",2015,November,18,meter-mostly-true
1501,"""I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.""",2015,November,6,meter-mostly-true
1502,"""8 Syrians caught at Texas border in Laredo.""",2015,November,18,meter-mostly-false
1503,"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.""",2015,November,14,meter-half-true
1504,"""The Chinese are there"" in Syria.",2015,November,10,meter-false
1505,"""The federal government owns about half of the West, yet it continues to acquire more land.""",2015,October,21,meter-mostly-true
1506,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""",2015,October,13,meter-mostly-false
1507,"""Today in America, we have more people in jail than any other country on Earth.""",2015,October,13,meter-mostly-true
1508,"When ICE releases illegal immigrants, ""a lot of those people are not from Honduras and Mexico. They’re from Iraq and Somalia and Russia.""",2015,September,25,meter-mostly-false
1509,"The Obama administration’s ""own Environmental Protection Agency"" has said its Clean Power Plan ""will have a marginal impact on climate change.""",2015,September,16,meter-half-true
1510,"""We had a three-hour debate, no discussion about the national debt, very little about the economy.""",2015,September,20,meter-mostly-true
1511,"The Iran deal ""trusts the Iranians to inspect themselves.""",2015,September,1,meter-false
1512,"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""",2015,September,9,meter-false
1513,"Under the Iran deal: ""If Israel attacks Iran … we’re supposed to be on Iran’s side.""",2015,September,3,meter-false
1514,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",2015,September,2,meter-false
1515,"""Saudi Arabia has the third-largest military budget in the entire world.""",2015,August,30,meter-true
1516,"""We have an Army that just cut 40,000 spots.""",2015,August,18,meter-mostly-true
1517,"""The United States has the highest incarceration rate in the world.""",2015,August,5,meter-mostly-true
1518,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",2015,August,6,meter-false
1519,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true
1520,"The Iran deal says that ""if any other country tries to undermine (Iran's) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies.""",2015,July,22,meter-false
1521,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""",2015,July,14,meter-mostly-false
1522,"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.""",2015,July,14,meter-half-true
1523,"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",2015,June,12,meter-mostly-true
1524,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States.""",2015,June,24,meter-half-true
1525,"""We are the only major country on Earth that doesn't guarantee health care to all people as a right.""",2015,June,28,meter-half-true
1526,"""Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.""",2015,June,16,meter-false
1527,"Says Bill Clinton ""gave a speech in 1996 about Iraq having WMDs"" and said ""we needed a regime change,"" even though everyone blamed those things on George W. Bush.",2015,June,15,meter-mostly-false
1528,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",2015,May,7,meter-mostly-false
1529,"""Most polls show foreign nations have lower regard for the U.S. now than they did before Obama’s time.""",2015,June,2,meter-false
1530,"Today, ""the United States is the most respected country on Earth.""",2015,June,1,meter-half-true
1531,"The United States ""is not modernizing its nuclear weapons.""",2015,April,25,meter-false
1532,"The United States ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",2015,April,25,meter-false
1533,"""The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""",2015,April,13,meter-true
1534,"""Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state.""",2015,April,26,meter-true
1535,The Castro regime ‘violated international norms’ by secretly shipping weapons to North Korea in violation of a U.N. embargo.,2015,April,15,meter-mostly-true
1536,"""You can’t build a Christian church in Saudi Arabia.""",2015,April,8,meter-true
1537,"""Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.""",2015,April,5,meter-mostly-true
1538,"""A few weeks ago Obama took Hamas and Iran OFF the terror list.""",2015,March,19,meter-false
1539,"Says that ""Susan Rice, the president's national security adviser, has already conceded that Iran will have a robust uranium enrichment capability.""",2015,March,9,meter-mostly-false
1540,"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""",2015,March,11,meter-mostly-false
1541,"""The vast majority of our international commitments take effect without congressional approval.""",2015,March,9,meter-half-true
1542,"If President Barack Obama strikes a nuclear deal with Iran, ""the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time.""",2015,March,9,meter-mostly-true
1543,"""America produces more oil and gas than any other nation in the world.""",2015,February,24,meter-true
1544,The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.,2015,February,18,meter-true
1545,"""We live in the most incarcerated country in the world.""",2015,February,22,meter-mostly-true
1546,"""Documents released from the Soviet Union"" show ""the Soviet Union started treating"" President Ronald Reagan more seriously after Reagan fired the air traffic controllers.",2015,January,21,tom_ruling_pof
1547,"""America is No. 1 one in oil and gas.""",2015,January,20,meter-true
1548,"""Since 2010, America has put more people back to work than Europe, Japan, and all advanced economies combined.""",2015,January,20,meter-half-true
1549,"Only 42 percent of young Georgians have a college certificate or degree, but soon 60 percent of jobs will require some college credential.",2014,December,16,meter-true
1550,"""We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia.""",2015,January,4,meter-true
1551,"""We've caught Iran cheating on the interim (nuclear) deal.""",2014,December,28,meter-mostly-false
1552,"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.""",2014,December,21,meter-mostly-true
1553,"""Congress is a very special group of people. More than 80 percent of them never left the United States.""",2014,December,16,tom_ruling_pof
1554,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",2014,December,10,meter-mostly-false
1555,"""We are younger than our competitors, and this is entirely because of immigration.""",2014,December,3,meter-mostly-true
1556,"""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.""",2014,December,5,meter-mostly-true
1557,"""Over the last few years, we’ve put more people back to work than all the other advanced economies combined.""",2014,November,16,meter-half-true
1558,"""We've created more jobs in the United States than every other advanced economy combined since I came into office.""",2014,November,9,meter-half-true
1559,"""In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.""",2014,October,28,meter-false
1560,"""We've had 27 (Ebola) outbreaks around the globe and they've never spread outside of the confines of the countries that were initially affected.""",2014,October,20,meter-mostly-true
1561,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.""",2014,September,14,meter-true
1562,"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""",2014,September,2,meter-true
1563,"The United States had ""allies lined up"" for air strikes in Syria and then Obama ""pulled the rug out.""",2014,August,31,meter-half-true
1564,"""Russia has more diversity in its governmental representation than we do in Texas.""",2014,August,22,meter-mostly-false
1565,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.",2014,July,23,meter-half-true
1566,"""I'm not a conspiracy theorist and I never allow conspiracy theorists on my program.""",2014,July,23,tom_ruling_pof
1567,"The United States is the leading nation in the world ""with the highest amount of doubt about the conventional wisdom of climate change.""",2014,July,22,meter-mostly-true
1568,"Russia ""has an economy the size of Italy.""",2014,July,27,meter-mostly-true
1569,"There are fewer wars, there are fewer people dying in wars ""now than there have been in quite some time.""",2014,July,15,meter-mostly-true
1570,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",2014,July,17,meter-mostly-false
1571,"""The so-called defense minister of the People's Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.""",2014,July,20,meter-mostly-true
1572,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.""",2014,June,11,meter-mostly-true
1573,"FIFA ""pressured Brazil into passing a so-called Budweiser bill, allowing beer sales in soccer stadiums.""",2014,June,8,meter-true
1574,"Says Hillary Clinton ""laid the groundwork"" for getting chemical weapons out of Syria.",2014,June,1,meter-mostly-false
1575,"Says Hillary Clinton ""defended Syria’s President Assad as a possible reformer at the start of that country’s civil war.""",2014,June,1,meter-half-true
1576,Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,2014,May,30,tom_ruling_pof
1577,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true
1578,"""At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic.""",2014,May,18,meter-mostly-false
1579,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",2014,April,17,meter-false
1580,"""The U.S. spends more money on its military than the 16 biggest military budgets in the world"" combined.",2014,April,16,meter-half-true
1581,"""22 Countries Invaded by the U.S. in 20 Years.""",2014,March,28,meter-false
1582,"""Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.""",2014,March,30,meter-mostly-true
1583,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true
1584,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false
1585,"Russian annexation of Crimea ""removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.""",2014,March,16,meter-mostly-true
1586,"President Barack Obama shut down NASA space flights and turned the agency ""into a Muslim outreach department.""",2014,March,6,meter-false
1587,"""The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.""",2014,March,9,meter-mostly-true
1588,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off.""",2014,March,9,meter-mostly-false
1589,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century.""",2014,March,3,meter-mostly-true
1590,"The new Ukrainian government ""introduced a law abolishing the use of languages other than Ukrainian in official circumstances.""",2014,March,4,meter-half-true
1591,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true
1592,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",2014,March,3,meter-mostly-true
1593,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",2014,March,2,meter-true
1594,"""The (Russian) ruble is already going down.""",2014,March,2,meter-mostly-true
1595,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",2014,March,2,meter-true
1596,A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,2014,February,19,tom_ruling_pof
1597,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",2014,January,16,meter-true
1598,"""It’s been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the Olympics.""",2014,February,9,meter-true
1599,"""Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth.""",2014,January,28,meter-half-true
1600,"""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody.""",2014,January,18,meter-mostly-true
1601,"""In some of the states in the U.S., homosexuality remains a felony.""",2014,January,19,meter-false
1602,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true
1603,"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",2014,January,2,meter-mostly-true
