,nc,1,claim,0,nt
920,Фейк: «Малоизвестные факты» из биографии Степана Бандеры,meter-false,"Fake: ""Little-known facts"" from the biography of Stepan Bandera","""Little-known facts"" from the biography of Stepan Bandera",Fake
921,Фотофейк: Ленин стоит на мавзолее в американском фильме о российской революции,meter-false,Photofake: Lenin stands on a mausoleum in an American film about the Russian Revolution,Lenin stands on a mausoleum in an American film about the Russian Revolution,Photofake
922,Манипуляция: У Украины никогда не было ядерного оружия,meter-false,Manipulation: Ukraine never had nuclear weapons,Ukraine never had nuclear weapons,Manipulation
923,Фейк: Украинцы с 1 января не смогут пользоваться мобильными телефонами,meter-false,Fake: Ukrainians will not be able to use mobile phones from January 1,Ukrainians will not be able to use mobile phones from January 1,Fake
924,"Фейк: Украинцев заставляют праздновать Рождество 25 декабря, как это делали нацисты во время оккупации",meter-false,"Fake: Ukrainians are being forced to celebrate Christmas on December 25, just like the Nazis did during the occupation","Ukrainians are being forced to celebrate Christmas on December 25, just like the Nazis did during the occupation",Fake
925,"Фейк: Глава ВОЗ заявил, что вакцины против COVID-19 «используют для убийства детей»",meter-false,Fake: WHO chief says COVID-19 vaccines are 'used to kill children',WHO chief says COVID-19 vaccines are 'used to kill children',Fake
926,Манипуляция: Еврокомиссия официально запретила использовать слово «Рождество»,meter-false,"Manipulation: The European Commission officially banned the use of the word ""Christmas""","The European Commission officially banned the use of the word ""Christmas""",Manipulation
927,"Фейк: В Киеве хотят ввести «паспорт украинца», чтобы отсечь от выборов «неправильных» граждан",meter-false,Fake: They want to introduce a “Ukrainian passport” in Kyiv to cut off the “wrong” citizens from the elections,They want to introduce a “Ukrainian passport” in Kyiv to cut off the “wrong” citizens from the elections,Fake
928,Фейк: Возле штаб-квартиры ООН установили «зверя Апокалипсиса»,meter-false,Fake: 'Beast of the Apocalypse' Installed Near UN Headquarters,'Beast of the Apocalypse' Installed Near UN Headquarters,Fake
929,Фейк: Поддержавшая Майдан поэтесса выехала из Украины,meter-false,Fake: Poetess Who Supported Maidan Left Ukraine,Poetess Who Supported Maidan Left Ukraine,Fake
930,Манипуляция: Одна из побочных реакций на вакцины от COVID-19 — полная слепота,meter-false,Manipulation: One of the adverse reactions to COVID-19 vaccines is total blindness,One of the adverse reactions to COVID-19 vaccines is total blindness,Manipulation
931,"Манипуляция: Надвигается «неизлечимая» эпидемия, «хуже COVID-19»",meter-false,"Manipulation: 'Incurable' epidemic looming, 'worse than COVID-19'","'Incurable' epidemic looming, 'worse than COVID-19'",Manipulation
932,Фотофейк: Украинские военные с флагом США,meter-false,Photofake: Ukrainian military with the US flag,Ukrainian military with the US flag,Photofake
933,Фейк: Украинцев без их согласия «пустят на органы»,meter-false,Fake: Ukrainians without their consent will be “allowed for organs”,Ukrainians without their consent will be “allowed for organs”,Fake
934,Фейк: Диссидента Мустафу Джемилева судили за изнасилование в советское время,meter-false,Fake: Dissident Mustafa Dzhemilev tried for rape in Soviet times,Dissident Mustafa Dzhemilev tried for rape in Soviet times,Fake
935,Фейк: В Украине правительство наказывает экономящих газ граждан,meter-false,"Fake: In Ukraine, the government punishes citizens who save gas","In Ukraine, the government punishes citizens who save gas",Fake
936,"Фейк: Россия может оккупировать области Украины, принадлежащие ей исторически, – хорватские СМИ",meter-false,Fake: Russia May Occupy Ukraine's Historical Regions - Croatian Media,Russia May Occupy Ukraine's Historical Regions - Croatian Media,Fake
937,Фейк: Аргентинский футболист Серхио Агуэро завершает карьеру из-за последствий вакцинации,meter-false,Fake: Argentine Footballer Sergio Aguero Retires Due to Vaccination Effects,Argentine Footballer Sergio Aguero Retires Due to Vaccination Effects,Fake
938,"Фейк: Украинцы, получившие тысячу гривен за вакцинацию, должны подать декларацию о доходах",meter-false,Fake: Ukrainians who received a thousand hryvnias for vaccination must file an income declaration,Ukrainians who received a thousand hryvnias for vaccination must file an income declaration,Fake
939,Фейк: Американский политик Митт Ромни призвал разрушить Россию,meter-false,Fake: American politician Mitt Romney called for the destruction of Russia,American politician Mitt Romney called for the destruction of Russia,Fake
940,Видеофейк: В Германии фермеры протестуют против паспортов вакцинации и правительства,meter-false,"Video fake: In Germany, farmers protest against vaccination passports and the government","In Germany, farmers protest against vaccination passports and the government",Video fake
941,Фейк: Прививки от COVID-19 вредят иммунной системе – исследование,meter-false,Fake: COVID-19 Vaccines Harm the Immune System – Study,COVID-19 Vaccines Harm the Immune System – Study,Fake
942,Фейк: Певицу Селин Дион парализовало вследствие вакцинации от COVID-19,meter-false,Fake: Singer Celine Dion paralyzed due to COVID-19 vaccination,Singer Celine Dion paralyzed due to COVID-19 vaccination,Fake
943,Фейк: Законопроект №4142 выводит в открытый доступ все медицинские данные о человеке,meter-false,Fake: Draft Law No. 4142 makes all medical data about a person publicly available,Draft Law No. 4142 makes all medical data about a person publicly available,Fake
944,Фейк: «Омикрон» поражает преимущественно вакцинированных людей,meter-false,Fake: Omicron predominantly affects vaccinated people,Omicron predominantly affects vaccinated people,Fake
945,Фейк: Во Франции полиция убегает от протестующих против карантинных ограничений,meter-false,"Fake: In France, police flee from anti-quarantine protesters","In France, police flee from anti-quarantine protesters",Fake
946,Фейк: Медицинский журнал Ланцет разгромил преступную политику принуждения к вакцинации,meter-false,Fake: Medical Journal The Lancet Destroys Criminal Vaccination Policy,Medical Journal The Lancet Destroys Criminal Vaccination Policy,Fake
947,Манипуляция: В супермаркетах Германии привитых и непривитых разделяют металлической оградой,meter-false,"Manipulation: In German supermarkets, vaccinated and unvaccinated are separated by a metal fence","In German supermarkets, vaccinated and unvaccinated are separated by a metal fence",Manipulation
948,Фейк: В Сербии тысячи людей протестовали против «придуманной» пандемии и вакцин,meter-false,"Fake: In Serbia, thousands of people protested against a “made-up” pandemic and vaccines","In Serbia, thousands of people protested against a “made-up” pandemic and vaccines",Fake
949,Фейк: Глава Еврокомиссии призывает отменить Нюрнбергский кодекс,meter-false,Fake: The head of the European Commission calls for the abolition of the Nuremberg Code,The head of the European Commission calls for the abolition of the Nuremberg Code,Fake
950,Фейк: Переболевшим COVID-19 не нужно вакцинироваться,meter-false,Fake: Those who recover from COVID-19 do not need to be vaccinated,Those who recover from COVID-19 do not need to be vaccinated,Fake
951,Фейки американского сенатора Рона Джонсона о «принудительной» вакцинации от COVID-19,meter-false,"Fakes by U.S. Senator Ron Johnson about ""forced"" vaccination against COVID-19","Fakes by U.S. Senator Ron Johnson about ""forced"" vaccination against COVID-19",meter-false
952,Фейк: QR-код со всей биометрикой человека заменит фотографию в паспортах,meter-false,Fake: A QR code with all human biometrics will replace a photo in passports,A QR code with all human biometrics will replace a photo in passports,Fake
953,Фотофейк: Жители Львова «радостно приветствуют» «освободителей»,meter-false,Photofake: Residents of Lviv “joyfully greet” the “liberators”,Residents of Lviv “joyfully greet” the “liberators”,Photofake
954,Фейк: «Всемирное правительство» подготовило «тайное» пандемическое соглашение и новые эпидемии,meter-false,"Fake: ""World Government"" prepared a ""secret"" pandemic agreement and new epidemics","""World Government"" prepared a ""secret"" pandemic agreement and new epidemics",Fake
955,Фейк: Билл Гейтс стоит за появлением штамма «Омикрон» в Африке,meter-false,Fake: Bill Gates is behind the Omicron strain in Africa,Bill Gates is behind the Omicron strain in Africa,Fake
956,Фейк: Известный врач предупредил об угрозе штамма «Омикрон» для украинцев,meter-false,Fake: A well-known doctor warned about the threat of the Omicron strain for Ukrainians,A well-known doctor warned about the threat of the Omicron strain for Ukrainians,Fake
957,"Манипуляция: 2,5 миллиона жертв после вакцинации от COVID-19, — статистика ВОЗ",meter-false,"Manipulation: 2.5 million victims after vaccination against COVID-19, - WHO statistics","2.5 million victims after vaccination against COVID-19, - WHO statistics",Manipulation
958,Фейк: План пандемии коронавируса был заявлен еще на открытии Олимпиады 1992 года,meter-false,Fake: The coronavirus pandemic plan was announced at the opening of the 1992 Olympics,The coronavirus pandemic plan was announced at the opening of the 1992 Olympics,Fake
959,Фейк: В Татарстане выяснили природу COVID-19,meter-false,Fake: Nature of COVID-19 found out in Tatarstan,Nature of COVID-19 found out in Tatarstan,Fake
960,Фейк: Проект нового мирового порядка с 2025 года от ООН,meter-false,Fake: Project of a new world order from 2025 from the UN,Project of a new world order from 2025 from the UN,Fake
961,"Манипуляция: Каждый орган тела умершего человека был заражен белковыми шипами «благодаря вакцине», — исследование",meter-false,Manipulation: Every organ of a deceased person's body was infected with protein spikes 'thanks to a vaccine' - study,Every organ of a deceased person's body was infected with protein spikes 'thanks to a vaccine' - study,Manipulation
962,"Манипуляция: Вакцинированные англичане моложе 60 лет умирают в два раза чаще, чем невакцинированные",meter-false,Manipulation: Vaccinated Britons under 60 are twice as likely to die as unvaccinated,Vaccinated Britons under 60 are twice as likely to die as unvaccinated,Manipulation
963,Фейк: В Херсоне сбили подростка — полиция просит его опознать,meter-false,Fake: Teenager shot down in Kherson – police ask to identify him,Teenager shot down in Kherson – police ask to identify him,Fake
964,Фейк: Коренных австралийцев принудительно вакцинируют от COVID-19,meter-false,Fake: Indigenous Australians Forced to Vaccinate Against COVID-19,Indigenous Australians Forced to Vaccinate Against COVID-19,Fake
965,"Манипуляция: Существуют люди, которые «не подцепят COVID-19» даже при контакте с больными",meter-false,Manipulation: There are people who “do not catch COVID-19” even when in contact with patients,There are people who “do not catch COVID-19” even when in contact with patients,Manipulation
966,Фейк: Новый штамм «омикрон» не выявляется ПЦР-тестами,meter-false,Fake: New Omicron strain is not detected by PCR tests,New Omicron strain is not detected by PCR tests,Fake
967,"Фейк: У мужчин, которых привили от COVID-19, обнаружили мертвые сперматозоиды",meter-false,Fake: Dead sperm found in men vaccinated against COVID-19,Dead sperm found in men vaccinated against COVID-19,Fake
968,"Фейк: Медсестра из Словении разоблачила заговор, стоящий за вакцинацией COVID-19",meter-false,Fake: Slovenian nurse exposes conspiracy behind COVID-19 vaccination,Slovenian nurse exposes conspiracy behind COVID-19 vaccination,Fake
969,Фейк: Вакцинация от COVID-19 повышает риск внутриутробной смерти плода,meter-false,Fake: Vaccination against COVID-19 increases the risk of fetal death,Vaccination against COVID-19 increases the risk of fetal death,Fake
970,Манипуляция: Более 75 спортсменов внезапно умерли или серьезно заболели после вакцинации,meter-false,Manipulation: More than 75 athletes died suddenly or became seriously ill after being vaccinated,More than 75 athletes died suddenly or became seriously ill after being vaccinated,Manipulation
971,"Фейк: В Италии штурмовали торговый центр, требующий COVID-сертификаты",meter-false,Fake: Italy stormed a shopping center requiring COVID certificates,Italy stormed a shopping center requiring COVID certificates,Fake
972,Манипуляция: Билл Гейтс признал неэффективность вакцин против COVID-19,meter-false,Manipulation: Bill Gates admitted the ineffectiveness of vaccines against COVID-19,Bill Gates admitted the ineffectiveness of vaccines against COVID-19,Manipulation
973,Манипуляция: В Швеции 87% умерших от COVID – полностью вакцинированы,meter-false,"Manipulation: In Sweden, 87% of COVID deaths are fully vaccinated","In Sweden, 87% of COVID deaths are fully vaccinated",Manipulation
974,Фейк: В Германии доктор покончил жизнь самоубийством из-за «лжи о вакцинации»,meter-false,Fake: German doctor commits suicide over 'vaccination lie',German doctor commits suicide over 'vaccination lie',Fake
975,Фейк: Япония отказывается от вакцинации против COVID-19 и переходит на ивермектин,meter-false,Fake: Japan refuses to vaccinate against COVID-19 and switches to ivermectin,Japan refuses to vaccinate against COVID-19 and switches to ivermectin,Fake
976,"Фейк: Вакцинированные могут передавать вирус через кожу и вызывать выкидыши, — Pfizer",meter-false,Fake: Vaccines can transmit virus through skin and cause miscarriages - Pfizer,Vaccines can transmit virus through skin and cause miscarriages - Pfizer,Fake
977,"Манипуляция: Эпидемии COVID-19 нет, — подтвердили в Минздраве",meter-false,"Manipulation: There is no COVID-19 epidemic, the Ministry of Health confirmed","There is no COVID-19 epidemic, the Ministry of Health confirmed",Manipulation
978,Фейк: В Украине станет обязательной вакцинация от COVID-19 для детей 5-12 лет,meter-false,Fake: Ukraine will make mandatory vaccination against COVID-19 for children aged 5-12,Ukraine will make mandatory vaccination against COVID-19 for children aged 5-12,Fake
979,Фейк: В Киеве на 2 месяца перекроют мост Патона,meter-false,Fake: Paton Bridge to be blocked in Kyiv for 2 months,Paton Bridge to be blocked in Kyiv for 2 months,Fake
980,Фейк: Спайк-белок в вакцине от COVID-19 вызывает ряд заболеваний — исследование,meter-false,Fake: Spike protein in COVID-19 vaccine causes several diseases - study,Spike protein in COVID-19 vaccine causes several diseases - study,Fake
981,"Фейк: Пандемию используют для введения генно-клеточной терапии, — президент Bayer",meter-false,Fake: Pandemic is being used to introduce gene-cell therapy – Bayer President,Pandemic is being used to introduce gene-cell therapy – Bayer President,Fake
982,Видеофейк: Австрия марширует против изоляции для невакцинированных,meter-false,Video fake: Austria marches against isolation for the unvaccinated,Austria marches against isolation for the unvaccinated,Video fake
983,Фейк: Фонд Рокфеллеров возьмет под контроль всемирное распределение продуктов,meter-false,Fake: Rockefeller Foundation to take control of global food distribution,Rockefeller Foundation to take control of global food distribution,Fake
984,"Фейк: Почти 90% одесситов ответили, что им «нравится Россия», — опрос",meter-false,Fake: Nearly 90% of Odessa residents said they “like Russia” – poll,Nearly 90% of Odessa residents said they “like Russia” – poll,Fake
985,Фейк: Вакцинация против COVID-19 — экспериментальная генная терапия,meter-false,Fake: Vaccination against COVID-19 - experimental gene therapy,Vaccination against COVID-19 - experimental gene therapy,Fake
986,Фейк: В Украине вводят комендантский час из-за вспышки COVID-19,meter-false,Fake: Ukraine imposes curfew due to COVID-19 outbreak,Ukraine imposes curfew due to COVID-19 outbreak,Fake
987,Фейк: В телах вакцинированных от COVID-19 обнаружили наночипы,meter-false,Fake: Nanochips were found in the bodies of those vaccinated against COVID-19,Nanochips were found in the bodies of those vaccinated against COVID-19,Fake
988,Манипуляция: Европарламент выступил против COVID-сертификатов,meter-false,Manipulation: European Parliament opposed COVID-certificates,European Parliament opposed COVID-certificates,Manipulation
989,Фейк: В Украине протоколы лечения COVID-19 — преступные,meter-false,Fake: COVID-19 treatment protocols are criminal in Ukraine,COVID-19 treatment protocols are criminal in Ukraine,Fake
990,Фейк: Мигранты атакуют границу на Черниговщине,meter-false,Fake: Migrants attack the border in Chernihiv region,Migrants attack the border in Chernihiv region,Fake
991,Фейк: В Одессе начали «метить» квартиры с невакцинированными,meter-false,Fake: In Odessa they started “marking” apartments with unvaccinated people,In Odessa they started “marking” apartments with unvaccinated people,Fake
992,Фейк: Заявления доктора Райана Коула о вреде вакцинации против COVID-19,meter-false,Fake: Dr. Ryan Cole's Claims About the Harm of COVID-19 Vaccination,Dr. Ryan Cole's Claims About the Harm of COVID-19 Vaccination,Fake
993,Фейк: QR-код на COVID-сертификатах превращает человека в товар,meter-false,Fake: QR code on COVID certificates turns a person into a commodity,QR code on COVID certificates turns a person into a commodity,Fake
994,"Фейк: Водителя, сбившего детей в Харькове, выпустили под залог",meter-false,Fake: Driver who hit children in Kharkiv released on bail,Driver who hit children in Kharkiv released on bail,Fake
995,Манипуляция: В Норвегии смертность от COVID-19 снизилась после отмены карантинных ограничений,meter-false,"Manipulation: In Norway, deaths from COVID-19 decreased after the lifting of quarantine restrictions","In Norway, deaths from COVID-19 decreased after the lifting of quarantine restrictions",Manipulation
996,Манипуляция: В Украине вводят обязательные браслеты с метками для вакцинированных,meter-false,Manipulation: Mandatory bracelets with tags for vaccinated people are introduced in Ukraine,Mandatory bracelets with tags for vaccinated people are introduced in Ukraine,Manipulation
997,Манипуляция: У вакцины Johnson & Johnson обнаружен новый побочный эффект,meter-false,Manipulation: Johnson & Johnson's vaccine has a new side effect,Johnson & Johnson's vaccine has a new side effect,Manipulation
998,Фейк: Итальянские стюардессы отказываются от вакцинации против COVID-19,meter-false,Fake: Italian flight attendants refuse COVID-19 vaccinations,Italian flight attendants refuse COVID-19 vaccinations,Fake
999,"Фейк: Гендиректор Pfizer арестован, акции фармкомпаний обвалились",meter-false,"Fake: Pfizer CEO Arrested, Pharma Shares Crash","Pfizer CEO Arrested, Pharma Shares Crash",Fake
1000,Фейк: В Хорватии запретили вакцинацию от COVID-19,meter-false,Fake: Croatia bans COVID-19 vaccination,Croatia bans COVID-19 vaccination,Fake
1001,Фейк: COVID-19 наступает вследствие отравления фосгеном,meter-false,Fake: COVID-19 comes from phosgene poisoning,COVID-19 comes from phosgene poisoning,Fake
1002,Фейк: В Ровно змея проникла в ванную через канализацию,meter-false,"Fake: In Rivne, a snake entered the bathroom through the sewer","In Rivne, a snake entered the bathroom through the sewer",Fake
1003,Фейк: Приобретенный иммунитет лучше чем вакцинация от COVID-19,meter-false,Fake: Acquired Immunity is Better Than COVID-19 Vaccination,Acquired Immunity is Better Than COVID-19 Vaccination,Fake
1004,Фейк: В США 90% госпитализированных пациентов с COVID-19 — полностью вакцинированы,meter-false,"Fake: In the US, 90% of hospitalized COVID-19 patients are fully vaccinated","In the US, 90% of hospitalized COVID-19 patients are fully vaccinated",Fake
1005,Манипуляция: В Уэльсе большинство госпитализированных с COVID-19 — привитые,meter-false,"Manipulation: In Wales, the majority of those hospitalized with COVID-19 are vaccinated","In Wales, the majority of those hospitalized with COVID-19 are vaccinated",Manipulation
1006,Манипуляция: В Украине вводят штрафы для невакцинированных,meter-false,Manipulation: Ukraine introduces fines for unvaccinated people,Ukraine introduces fines for unvaccinated people,Manipulation
1007,Фейк: В Киеве высокий уровень диоксида азота из-за «химтрейлов»,meter-false,Fake: Nitrogen Dioxide High in Kyiv Due to Chemtrails,Nitrogen Dioxide High in Kyiv Due to Chemtrails,Fake
1008,Фейк: В Южной Африке 13 детей умерли от вакцины против COVID-19,meter-false,Fake: 13 children die from COVID-19 vaccine in South Africa,13 children die from COVID-19 vaccine in South Africa,Fake
1009,"Манипуляция: Фаучи заявил, что люди не имеют права на собственное решение о вакцинации",meter-false,Manipulation: Fauci said people have no right to their own decision about vaccination,Fauci said people have no right to their own decision about vaccination,Manipulation
1010,Фейк: В украинских школах отменили карантин с 3 ноября,meter-false,Fake: Quarantine lifted in Ukrainian schools from November 3,Quarantine lifted in Ukrainian schools from November 3,Fake
1011,Фейк: В Италии протестующие против вакцинации заблокировали порт,meter-false,Fake: Anti-Vaccination Protesters Block Port in Italy,Anti-Vaccination Protesters Block Port in Italy,Fake
1012,Фейк: Народная медицина способна излечить туберкулез,meter-false,Fake: Traditional medicine can cure tuberculosis,Traditional medicine can cure tuberculosis,Fake
1013,Фейк: В Броварах прямо под пунктом вакцинации умер мужчина,meter-false,Fake: A man dies right under the vaccination point in Brovary,A man dies right under the vaccination point in Brovary,Fake
1014,Манипуляция: В Украине вводят новый налог на траты и покупки,meter-false,Manipulation: Ukraine introduces a new tax on spending and purchases,Ukraine introduces a new tax on spending and purchases,Manipulation
1015,Фейк: В США строят концлагеря для невакцинированных — все официально,meter-false,Fake: Concentration camps for the unvaccinated are being built in the USA - everything is official,Concentration camps for the unvaccinated are being built in the USA - everything is official,Fake
1016,Фейк: 25 причин сказать прививкам — нет,meter-false,Fake: 25 Reasons to Say No to Vaccines,25 Reasons to Say No to Vaccines,Fake
1017,Манипуляция: В Великобритании большинство смертей от COVID-19 — среди вакцинированных,meter-false,"Manipulation: In the UK, most of the deaths from COVID-19 are among the vaccinated","In the UK, most of the deaths from COVID-19 are among the vaccinated",Manipulation
1018,Фейк: Морковный сок лечит рак – химиотерапия не понадобится,meter-false,Fake: Carrot Juice Cures Cancer – No Chemo Needed,Carrot Juice Cures Cancer – No Chemo Needed,Fake
1019,Фейк: В Украине будут принудительно прививать от COVID-19 детей в детдомах,meter-false,Fake: Children in orphanages will be forcibly vaccinated against COVID-19 in Ukraine,Children in orphanages will be forcibly vaccinated against COVID-19 in Ukraine,Fake
1020,Фейк: Глава ВОЗ заявил о неспособности вакцин остановить пандемию коронавируса,meter-false,Fake: WHO Chief Says Vaccines Can't Stop Coronavirus Pandemic,WHO Chief Says Vaccines Can't Stop Coronavirus Pandemic,Fake
1021,Фейк: В харьковском колледже приказали уничтожить литературу на русском языке,meter-false,Fake: Kharkiv College Ordered to Destroy Literature in Russian,Kharkiv College Ordered to Destroy Literature in Russian,Fake
1022,Фейк: ВОЗ исключила педофилию из списка психиатрических отклонений,meter-false,Fake: WHO removes pedophilia from the list of psychiatric disorders,WHO removes pedophilia from the list of psychiatric disorders,Fake
1023,Фейк: Цель вакцинации — вызвать коллективный СПИД,meter-false,Fake: The purpose of vaccination is to cause collective AIDS,The purpose of vaccination is to cause collective AIDS,Fake
1024,"Фейк: Данные Университета Хопкинса доказывают, что вакцинация усугубила пандемию COVID-19",meter-false,Fake: Hopkins Data Proves Vaccines Made the COVID-19 Pandemic Worse,Hopkins Data Proves Vaccines Made the COVID-19 Pandemic Worse,Fake
1025,Фейк: Вакцинация против COVID-19 вызывает болезнь Паркинсона,meter-false,Fake: Vaccination against COVID-19 causes Parkinson's disease,Vaccination against COVID-19 causes Parkinson's disease,Fake
1026,Фейк: В нарушение Минских договоренностей ВСУ ввели танки на линию разграничения на Донбассе,meter-false,"Fake: In violation of the Minsk agreements, the Armed Forces of Ukraine brought tanks to the line of demarcation in Donbas","In violation of the Minsk agreements, the Armed Forces of Ukraine brought tanks to the line of demarcation in Donbas",Fake
1027,"Манипуляция: На Тайване от вакцинации умерло больше людей, чем от COVID-19",meter-false,"Manipulation: In Taiwan, more people died from vaccination than from COVID-19","In Taiwan, more people died from vaccination than from COVID-19",Manipulation
1028,"Фейк: «Раковая индустрия» не ищет средств лечения рака, а только гонится за прибылью",meter-false,"Fake: The 'cancer industry' isn't looking for a cure for cancer, it's only chasing profits","The 'cancer industry' isn't looking for a cure for cancer, it's only chasing profits",Fake
1029,"Фейк: Сюжет в новостях о том, смогут ли украинцы зимой перенять опыт выживания лесной...",meter-false,Fake: A story in the news about whether Ukrainians will be able to adopt the experience of surviving the forest in winter...,A story in the news about whether Ukrainians will be able to adopt the experience of surviving the forest in winter...,Fake
1030,Фейк: Лечение от COVID-19 намеренно не разрабатывают,meter-false,Fake: Treatment for COVID-19 is deliberately not being developed,Treatment for COVID-19 is deliberately not being developed,Fake
1031,Фейк: Во Львове запретили ходить в продуктовые магазины без COVID-сертификата,meter-false,Fake: Lviv Bans Going to Grocery Stores Without a COVID-Certificate,Lviv Bans Going to Grocery Stores Without a COVID-Certificate,Fake
1032,"Манипуляция: Нет смысла в том, что с различными болезнями можно есть в ресторанах,...",meter-false,"Manipulation: It makes no sense that with various diseases you can eat in restaurants, ...","It makes no sense that with various diseases you can eat in restaurants, ...",Manipulation
1033,Фейк: Минздравы всех стран мира переходят под управление ВОЗ,meter-false,Fake: Ministries of Health of all countries of the world come under the control of WHO,Ministries of Health of all countries of the world come under the control of WHO,Fake
1034,Фейк: Сода и чеснок лечат серьезные респираторные заболевания,meter-false,Fake: Baking Soda and Garlic Treat Serious Respiratory Diseases,Baking Soda and Garlic Treat Serious Respiratory Diseases,Fake
1035,Фейк: Красный Крест собирает в Украине по школам данные детей с целью трансплантации органов,meter-false,Fake: The Red Cross in Ukraine collects the data of children in schools for the purpose of organ transplantation,The Red Cross in Ukraine collects the data of children in schools for the purpose of organ transplantation,Fake
1036,Фейк: В Украине срочно вводят локдаун,meter-false,Fake: Lockdown is urgently introduced in Ukraine,Lockdown is urgently introduced in Ukraine,Fake
1037,Манипуляция: Опасное облако оксида серы над городами Украины,meter-false,Manipulation: A dangerous cloud of sulfur oxide over the cities of Ukraine,A dangerous cloud of sulfur oxide over the cities of Ukraine,Manipulation
1038,"Фейк: Вероятность смерти детей от вакцины в три раза выше, чем от COVID-19",meter-false,Fake: Children are three times more likely to die from a vaccine than from COVID-19,Children are three times more likely to die from a vaccine than from COVID-19,Fake
1039,Фейк: Среди вакцинированных от COVID-19 — массовые случаи рака,meter-false,Fake: Mass cases of cancer among vaccinated against COVID-19,Mass cases of cancer among vaccinated against COVID-19,Fake
1040,"Фейк: Испания официально признала, что сбрасывала «химтрейлы» с самолётов",meter-false,Fake: Spain Officially Admits It Dropped Chemtrails from Planes,Spain Officially Admits It Dropped Chemtrails from Planes,Fake
1041,Фейк: В Украине установят камеры для контроля за невакцинированными,meter-false,Fake: Cameras to monitor unvaccinated people to be installed in Ukraine,Cameras to monitor unvaccinated people to be installed in Ukraine,Fake
1042,Манипуляция: Реальное состояние вагонов «Укрзализныци”,meter-false,Manipulation: Real condition of Ukrzaliznytsia cars,Real condition of Ukrzaliznytsia cars,Manipulation
1043,Фейк: мРНК-вакцины от COVID-19 вызывают мутации у новорожденных,meter-false,Fake: COVID-19 mRNA vaccines cause mutations in newborns,COVID-19 mRNA vaccines cause mutations in newborns,Fake
1044,Фейк: Большинство госпитализированных с СOVID-19 в Украине — вакцинированы,meter-false,Fake: Most of those hospitalized with COVID-19 in Ukraine are vaccinated,Most of those hospitalized with COVID-19 in Ukraine are vaccinated,Fake
1045,Видеофейк: По всему миру вырыты тоннели для переброски карательных отрядов,meter-false,Video fake: Tunnels dug around the world for the transfer of punitive detachments,Tunnels dug around the world for the transfer of punitive detachments,Video fake
1046,Фейк: Американская авиакомпания Southwest Airlines отменила 2000 рейсов из-за отказа пилотов вакцинироваться,meter-false,"Fake: American airline Southwest Airlines canceled 2,000 flights due to pilots refusing to be vaccinated","American airline Southwest Airlines canceled 2,000 flights due to pilots refusing to be vaccinated",Fake
1047,Фейк: В Киеве спецтехника распыляет отраву,meter-false,"Fake: In Kyiv, special equipment sprays poison","In Kyiv, special equipment sprays poison",Fake
1048,Фейк: Кабмин запретил путешествовать по регионам Украины,meter-false,Fake: The Cabinet of Ministers has banned travel to the regions of Ukraine,The Cabinet of Ministers has banned travel to the regions of Ukraine,Fake
1049,"Фейк: Землетрясение уничтожило церковь на Крите, где был центр вакцинации",meter-false,Fake: An earthquake destroyed a church in Crete where there was a vaccination center,An earthquake destroyed a church in Crete where there was a vaccination center,Fake
1050,Фейк: Вакцина против вируса папилломы человека “Гардасил” вызывает бесплодие,meter-false,Fake: Human papillomavirus vaccine Gardasil causes infertility,Human papillomavirus vaccine Gardasil causes infertility,Fake
1051,"Фейк: Украинцы получат 16,5 тысяч гривен в связи с расширением “красной зоны”",meter-false,Fake: Ukrainians will receive 16.5 thousand hryvnias in connection with the expansion of the “red zone”,Ukrainians will receive 16.5 thousand hryvnias in connection with the expansion of the “red zone”,Fake
1052,Фейк: Netflix выпустил трейлер фильма-расследования о «вагнеровцах»,meter-false,Fake: Netflix Releases Trailer for Wagnerian Investigative Film,Netflix Releases Trailer for Wagnerian Investigative Film,Fake
1053,Фейк: Кадры сегодняшнего потопа на Западной Украине облетели весь мир,meter-false,Fake: Footage of today's flood in Western Ukraine spread around the world,Footage of today's flood in Western Ukraine spread around the world,Fake
1054,Манипуляция: В Германии в результате вакцинации умерло 1254 человека,meter-false,"Manipulation: In Germany, 1254 people died as a result of vaccination","In Germany, 1254 people died as a result of vaccination",Manipulation
1055,"Фейк: Изобрели 3D чип-пластырь, который вживляют в организм вакцинированных",meter-false,Fake: Invented a 3D chip patch that is implanted into the body of vaccinated,Invented a 3D chip patch that is implanted into the body of vaccinated,Fake
1056,Фейк: В Украине было обнаружено ядовитое насекомое-убийца,meter-false,Fake: Poisonous killer insect found in Ukraine,Poisonous killer insect found in Ukraine,Fake
1057,Фейк: Сервисы Facebook отключили специально – людей готовят к техногенной катастрофе,meter-false,Fake: Facebook services were disabled on purpose - people are being prepared for a man-made disaster,Facebook services were disabled on purpose - people are being prepared for a man-made disaster,Fake
1058,Видеофейк: Смартфон считывает штрихкод на месте укола вакциной,meter-false,Video fake: Smartphone reads barcode at vaccine injection site,Smartphone reads barcode at vaccine injection site,Video fake
1059,Фейк: «Завтра» 8 областей Украины закрываются на локдаун,meter-false,"Fake: ""Tomorrow"" 8 regions of Ukraine are closed for lockdown","""Tomorrow"" 8 regions of Ukraine are closed for lockdown",Fake
